Time,PM2.5
2018-05-18 02:00:00,7.70 μg/m³
2018-05-19 02:00:00,6.56 μg/m³
2018-05-20 02:00:00,7.17 μg/m³
2018-05-21 02:00:00,7.43 μg/m³
2018-05-22 02:00:00,8.46 μg/m³
2018-05-23 02:00:00,8.37 μg/m³
2018-05-24 02:00:00,9.35 μg/m³
2018-05-25 02:00:00,8.81 μg/m³
2018-05-26 02:00:00,11.7 μg/m³
2018-05-27 02:00:00,9.90 μg/m³
2018-05-28 02:00:00,8.65 μg/m³
2018-05-29 02:00:00,9.98 μg/m³
2018-05-30 02:00:00,10.0 μg/m³
2018-05-31 02:00:00,15.1 μg/m³
2018-06-01 02:00:00,9.85 μg/m³
2018-06-02 02:00:00,12.0 μg/m³
2018-06-03 02:00:00,13.6 μg/m³
2018-06-04 02:00:00,10.7 μg/m³
2018-06-05 02:00:00,8.35 μg/m³
2018-06-06 02:00:00,3.53 μg/m³
2018-06-07 02:00:00,6.76 μg/m³
2018-06-08 02:00:00,8.26 μg/m³
2018-06-09 02:00:00,7.38 μg/m³
2018-06-10 02:00:00,10.2 μg/m³
2018-06-11 02:00:00,13.6 μg/m³
2018-06-12 02:00:00,8.12 μg/m³
2018-06-13 02:00:00,5.62 μg/m³
2018-06-14 02:00:00,4.86 μg/m³
2018-06-15 02:00:00,4.82 μg/m³
2018-06-16 02:00:00,7.77 μg/m³
2018-06-17 02:00:00,8.95 μg/m³
2018-06-18 02:00:00,13.2 μg/m³
2018-06-19 02:00:00,9.22 μg/m³
2018-06-20 02:00:00,8.15 μg/m³
2018-06-21 02:00:00,9.31 μg/m³
2018-06-22 02:00:00,3.40 μg/m³
2018-06-23 02:00:00,5.85 μg/m³
2018-06-24 02:00:00,4.95 μg/m³
2018-06-25 02:00:00,4.70 μg/m³
2018-06-26 02:00:00,7.91 μg/m³
2018-06-27 02:00:00,8.25 μg/m³
2018-06-28 02:00:00,8.87 μg/m³
2018-06-29 02:00:00,8.74 μg/m³
2018-06-30 02:00:00,3.50 μg/m³
2018-07-01 02:00:00,2.71 μg/m³
2018-07-02 02:00:00,4.70 μg/m³
2018-07-03 02:00:00,6.33 μg/m³
2018-07-04 02:00:00,8.10 μg/m³
2018-07-05 02:00:00,6.68 μg/m³
2018-07-06 02:00:00,5.48 μg/m³
2018-07-07 02:00:00,6.33 μg/m³
2018-07-08 02:00:00,5.31 μg/m³
2018-07-09 02:00:00,6.84 μg/m³
2018-07-10 02:00:00,8.55 μg/m³
2018-07-11 02:00:00,9.99 μg/m³
2018-07-12 02:00:00,10.2 μg/m³
2018-07-13 02:00:00,6.33 μg/m³
2018-07-14 02:00:00,0.959 μg/m³
2018-07-15 02:00:00,1.80 μg/m³
2018-07-16 02:00:00,5.86 μg/m³
2018-07-17 02:00:00,7.58 μg/m³
2018-07-18 02:00:00,13.1 μg/m³
2018-07-19 02:00:00,16.8 μg/m³
2018-07-20 02:00:00,13.6 μg/m³
2018-07-21 02:00:00,16.6 μg/m³
2018-07-22 02:00:00,13.4 μg/m³
2018-07-23 02:00:00,10.2 μg/m³
2018-07-24 02:00:00,10.4 μg/m³
2018-07-25 02:00:00,10.2 μg/m³
2018-07-26 02:00:00,10.5 μg/m³
2018-07-27 02:00:00,12.4 μg/m³
2018-07-28 02:00:00,14.9 μg/m³
2018-07-29 02:00:00,11.8 μg/m³
2018-07-30 02:00:00,9.20 μg/m³
2018-07-31 02:00:00,15.7 μg/m³
2018-08-01 02:00:00,12.9 μg/m³
2018-08-02 02:00:00,12.0 μg/m³
2018-08-03 02:00:00,13.4 μg/m³
2018-08-04 02:00:00,11.5 μg/m³
2018-08-05 02:00:00,6.73 μg/m³
2018-08-06 02:00:00,6.75 μg/m³
2018-08-07 02:00:00,9.20 μg/m³
2018-08-08 02:00:00,11.6 μg/m³
2018-08-09 02:00:00,10.5 μg/m³
2018-08-10 02:00:00,12.2 μg/m³
2018-08-11 02:00:00,8.86 μg/m³
2018-08-12 02:00:00,5.97 μg/m³
2018-08-13 02:00:00,11.0 μg/m³
2018-08-14 02:00:00,11.3 μg/m³
2018-08-15 02:00:00,8.81 μg/m³
2018-08-16 02:00:00,7.09 μg/m³
2018-08-17 02:00:00,9.52 μg/m³
2018-08-18 02:00:00,12.5 μg/m³
2018-08-19 02:00:00,15.8 μg/m³
2018-08-20 02:00:00,14.6 μg/m³
2018-08-21 02:00:00,7.68 μg/m³
2018-08-22 02:00:00,8.78 μg/m³
2018-08-23 02:00:00,14.7 μg/m³
2018-08-24 02:00:00,18.1 μg/m³
2018-08-25 02:00:00,10.4 μg/m³
2018-08-26 02:00:00,8.73 μg/m³
2018-08-27 02:00:00,9.12 μg/m³
2018-08-28 02:00:00,12.9 μg/m³
2018-08-29 02:00:00,13.0 μg/m³
2018-08-30 02:00:00,16.0 μg/m³
