PM10
"16:30 06/04;""17:30 06/04"";""10"""
"17:30 06/04;""18:30 06/04"";""9"""
"18:30 06/04;""19:30 06/04"";""12"""
"19:30 06/04;""20:30 06/04"";""11"""
"20:30 06/04;""21:30 06/04"";""11"""
"21:30 06/04;""22:30 06/04"";""16"""
"22:30 06/04;""23:30 06/04"";""23"""
"23:30 06/04;""00:30 07/04"";""46"""
"00:30 07/04;""01:30 07/04"";""48"""
"01:30 07/04;""02:30 07/04"";""39"""
"02:30 07/04;""03:30 07/04"";""33"""
"03:30 07/04;""04:30 07/04"";""28"""
"04:30 07/04;""05:30 07/04"";""28"""
"05:30 07/04;""06:30 07/04"";""31"""
"06:30 07/04;""07:30 07/04"";""34"""
"07:30 07/04;""08:30 07/04"";""36"""
"08:30 07/04;""09:30 07/04"";""37"""
"09:30 07/04;""10:30 07/04"";""39"""
"10:30 07/04;""11:30 07/04"";""36"""
"11:30 07/04;""12:30 07/04"";""34"""
"12:30 07/04;""13:30 07/04"";""28"""
"13:30 07/04;""14:30 07/04"";""20"""
"14:30 07/04;""15:30 07/04"";""24"""
"15:30 07/04;""16:30 07/04"";""20"""
"16:30 07/04;""17:30 07/04"";""15"""
"17:30 07/04;""18:30 07/04"";""14"""
"18:30 07/04;""19:30 07/04"";""15"""
"19:30 07/04;""20:30 07/04"";""16"""
"20:30 07/04;""21:30 07/04"";""12"""
"21:30 07/04;""22:30 07/04"";""16"""
"22:30 07/04;""23:30 07/04"";""19"""
"23:30 07/04;""00:30 08/04"";""29"""
"00:30 08/04;""01:30 08/04"";""23"""
"01:30 08/04;""02:30 08/04"";""17"""
"02:30 08/04;""03:30 08/04"";""19"""
"03:30 08/04;""04:30 08/04"";""18"""
"04:30 08/04;""05:30 08/04"";""23"""
"05:30 08/04;""06:30 08/04"";""25"""
"06:30 08/04;""07:30 08/04"";""22"""
"07:30 08/04;""08:30 08/04"";""20"""
"08:30 08/04;""09:30 08/04"";""25"""
"09:30 08/04;""10:30 08/04"";""29"""
"10:30 08/04;""11:30 08/04"";""31"""
"11:30 08/04;""12:30 08/04"";""37"""
"12:30 08/04;""13:30 08/04"";""36"""
"13:30 08/04;""14:30 08/04"";""28"""
"14:30 08/04;""15:30 08/04"";""18"""
"15:30 08/04;""16:30 08/04"";""12"""
"16:30 08/04;""17:30 08/04"";""15"""
"17:30 08/04;""18:30 08/04"";""12"""
"18:30 08/04;""19:30 08/04"";""16"""
"19:30 08/04;""20:30 08/04"";""13"""
"20:30 08/04;""21:30 08/04"";""16"""
"21:30 08/04;""22:30 08/04"";""17"""
"22:30 08/04;""23:30 08/04"";""27"""
"23:30 08/04;""00:30 09/04"";""25"""
"00:30 09/04;""01:30 09/04"";""24"""
"01:30 09/04;""02:30 09/04"";""30"""
"02:30 09/04;""03:30 09/04"";""26"""
"03:30 09/04;""04:30 09/04"";""18"""
"04:30 09/04;""05:30 09/04"";""17"""
"05:30 09/04;""06:30 09/04"";""20"""
"06:30 09/04;""07:30 09/04"";""26"""
"07:30 09/04;""08:30 09/04"";""32"""
"08:30 09/04;""09:30 09/04"";""33"""
"09:30 09/04;""10:30 09/04"";""32"""
"10:30 09/04;""11:30 09/04"";""24"""
"11:30 09/04;""12:30 09/04"";""21"""
"12:30 09/04;""13:30 09/04"";""20"""
"13:30 09/04;""14:30 09/04"";""15"""
"14:30 09/04;""15:30 09/04"";""14"""
"15:30 09/04;""16:30 09/04"";""16"""
"16:30 09/04;""17:30 09/04"";""17"""
"17:30 09/04;""18:30 09/04"";""16"""
"18:30 09/04;""19:30 09/04"";""14"""
"19:30 09/04;""20:30 09/04"";""14"""
"20:30 09/04;""21:30 09/04"";""13"""
"21:30 09/04;""22:30 09/04"";""16"""
"22:30 09/04;""23:30 09/04"";""18"""
"23:30 09/04;""00:30 10/04"";""31"""
"00:30 10/04;""01:30 10/04"";""38"""
"01:30 10/04;""02:30 10/04"";""38"""
"02:30 10/04;""03:30 10/04"";""34"""
"03:30 10/04;""04:30 10/04"";""38"""
"04:30 10/04;""05:30 10/04"";""32"""
"05:30 10/04;""06:30 10/04"";""33"""
"06:30 10/04;""07:30 10/04"";""34"""
"07:30 10/04;""08:30 10/04"";""34"""
"08:30 10/04;""09:30 10/04"";""39"""
"09:30 10/04;""10:30 10/04"";""37"""
"10:30 10/04;""11:30 10/04"";""39"""
"11:30 10/04;""12:30 10/04"";""36"""
"12:30 10/04;""13:30 10/04"";""34"""
"13:30 10/04;""14:30 10/04"";""31"""
"14:30 10/04;""15:30 10/04"";""26"""
"15:30 10/04;""16:30 10/04"";""23"""
"16:30 10/04;""17:30 10/04"";""22"""
"17:30 10/04;""18:30 10/04"";""25"""
"18:30 10/04;""19:30 10/04"";""28"""
"19:30 10/04;""20:30 10/04"";""26"""
"20:30 10/04;""21:30 10/04"";""26"""
"21:30 10/04;""22:30 10/04"";""57"""
"22:30 10/04;""23:30 10/04"";""83"""
"23:30 10/04;""00:30 11/04"";""82"""
"00:30 11/04;""01:30 11/04"";""81"""
"01:30 11/04;""02:30 11/04"";""97"""
"02:30 11/04;""03:30 11/04"";""116"""
"03:30 11/04;""04:30 11/04"";""85"""
"04:30 11/04;""05:30 11/04"";""76"""
"05:30 11/04;""06:30 11/04"";""69"""
"06:30 11/04;""07:30 11/04"";""79"""
"07:30 11/04;""08:30 11/04"";""68"""
"08:30 11/04;""09:30 11/04"";""70"""
"09:30 11/04;""10:30 11/04"";""71"""
"10:30 11/04;""11:30 11/04"";""60"""
"11:30 11/04;""12:30 11/04"";""41"""
"12:30 11/04;""13:30 11/04"";""33"""
"13:30 11/04;""14:30 11/04"";""29"""
"14:30 11/04;""15:30 11/04"";""21"""
"15:30 11/04;""16:30 11/04"";""8"""
"16:30 11/04;""17:30 11/04"";""7"""
"17:30 11/04;""18:30 11/04"";""8"""
"18:30 11/04;""19:30 11/04"";""8"""
"19:30 11/04;""20:30 11/04"";""8"""
"20:30 11/04;""21:30 11/04"";""9"""
"21:30 11/04;""22:30 11/04"";""9"""
"22:30 11/04;""23:30 11/04"";""10"""
"23:30 11/04;""00:30 12/04"";""10"""
"00:30 12/04;""01:30 12/04"";""10"""
"01:30 12/04;""02:30 12/04"";""6"""
"02:30 12/04;""03:30 12/04"";""6"""
"03:30 12/04;""04:30 12/04"";""9"""
"04:30 12/04;""05:30 12/04"";""13"""
"05:30 12/04;""06:30 12/04"";""15"""
"06:30 12/04;""07:30 12/04"";""14"""
"07:30 12/04;""08:30 12/04"";""13"""
"08:30 12/04;""09:30 12/04"";""14"""
"09:30 12/04;""10:30 12/04"";""15"""
"10:30 12/04;""11:30 12/04"";""15"""
"11:30 12/04;""12:30 12/04"";""17"""
"12:30 12/04;""13:30 12/04"";""16"""
"13:30 12/04;""14:30 12/04"";""13"""
"14:30 12/04;""15:30 12/04"";""12"""
"15:30 12/04;""16:30 12/04"";""11"""
"16:30 12/04;""17:30 12/04"";""12"""
"17:30 12/04;""18:30 12/04"";""12"""
"18:30 12/04;""19:30 12/04"";""12"""
"19:30 12/04;""20:30 12/04"";""17"""
"20:30 12/04;""21:30 12/04"";""51"""
"21:30 12/04;""22:30 12/04"";""46"""
"22:30 12/04;""23:30 12/04"";""35"""
"23:30 12/04;""00:30 13/04"";""28"""
"00:30 13/04;""01:30 13/04"";""18"""
"01:30 13/04;""02:30 13/04"";""12"""
"02:30 13/04;""03:30 13/04"";""9"""
"03:30 13/04;""04:30 13/04"";""7"""
"04:30 13/04;""05:30 13/04"";""8"""
"05:30 13/04;""06:30 13/04"";""10"""
"06:30 13/04;""07:30 13/04"";""10"""
"07:30 13/04;""08:30 13/04"";""10"""
"08:30 13/04;""09:30 13/04"";""11"""
"09:30 13/04;""10:30 13/04"";""12"""
"10:30 13/04;""11:30 13/04"";""14"""
"11:30 13/04;""12:30 13/04"";""11"""
"12:30 13/04;""13:30 13/04"";""9"""
"13:30 13/04;""14:30 13/04"";""7"""
"14:30 13/04;""15:30 13/04"";""7"""
"15:30 13/04;""16:30 13/04"";""10"""
"16:30 13/04;""17:30 13/04"";""12"""
"17:30 13/04;""18:30 13/04"";""12"""
"18:30 13/04;""19:30 13/04"";""9"""
"19:30 13/04;""20:30 13/04"";""10"""
"20:30 13/04;""21:30 13/04"";""13"""
"21:30 13/04;""22:30 13/04"";""18"""
"22:30 13/04;""23:30 13/04"";""27"""
"23:30 13/04;""00:30 14/04"";""37"""
"00:30 14/04;""01:30 14/04"";""26"""
"01:30 14/04;""02:30 14/04"";""35"""
"02:30 14/04;""03:30 14/04"";""38"""
"03:30 14/04;""04:30 14/04"";""28"""
"04:30 14/04;""05:30 14/04"";""16"""
"05:30 14/04;""06:30 14/04"";""18"""
"06:30 14/04;""07:30 14/04"";""18"""
"07:30 14/04;""08:30 14/04"";""16"""
"08:30 14/04;""09:30 14/04"";""16"""
"09:30 14/04;""10:30 14/04"";""11"""
"10:30 14/04;""11:30 14/04"";""5"""
"11:30 14/04;""12:30 14/04"";""8"""
"12:30 14/04;""13:30 14/04"";""7"""
"13:30 14/04;""14:30 14/04"";""7"""
"14:30 14/04;""15:30 14/04"";""6"""
"15:30 14/04;""16:30 14/04"";""7"""
"16:30 14/04;""17:30 14/04"";""8"""
"17:30 14/04;""18:30 14/04"";""7"""
"18:30 14/04;""19:30 14/04"";""10"""
"19:30 14/04;""20:30 14/04"";""10"""
"20:30 14/04;""21:30 14/04"";""10"""
"21:30 14/04;""22:30 14/04"";""13"""
"22:30 14/04;""23:30 14/04"";""13"""
"23:30 14/04;""00:30 15/04"";""14"""
"00:30 15/04;""01:30 15/04"";""15"""
"01:30 15/04;""02:30 15/04"";""22"""
"02:30 15/04;""03:30 15/04"";""23"""
"03:30 15/04;""04:30 15/04"";""13"""
"04:30 15/04;""05:30 15/04"";""13"""
"05:30 15/04;""06:30 15/04"";""12"""
"06:30 15/04;""07:30 15/04"";""12"""
"07:30 15/04;""08:30 15/04"";""10"""
"08:30 15/04;""09:30 15/04"";""8"""
"09:30 15/04;""10:30 15/04"";""6"""
"10:30 15/04;""11:30 15/04"";""6"""
"11:30 15/04;""12:30 15/04"";""8"""
"12:30 15/04;""13:30 15/04"";""10"""
"13:30 15/04;""14:30 15/04"";""11"""
"14:30 15/04;""15:30 15/04"";""10"""
"15:30 15/04;""16:30 15/04"";""14"""
"16:30 15/04;""17:30 15/04"";""15"""
"17:30 15/04;""18:30 15/04"";""20"""
"18:30 15/04;""19:30 15/04"";""21"""
"19:30 15/04;""20:30 15/04"";""24"""
"20:30 15/04;""21:30 15/04"";""31"""
"21:30 15/04;""22:30 15/04"";""30"""
"22:30 15/04;""23:30 15/04"";""35"""
"23:30 15/04;""00:30 16/04"";""41"""
"00:30 16/04;""01:30 16/04"";""40"""
"01:30 16/04;""02:30 16/04"";""36"""
"02:30 16/04;""03:30 16/04"";""30"""
"03:30 16/04;""04:30 16/04"";""23"""
"04:30 16/04;""05:30 16/04"";""21"""
"05:30 16/04;""06:30 16/04"";""21"""
"06:30 16/04;""07:30 16/04"";""18"""
"07:30 16/04;""08:30 16/04"";""14"""
"08:30 16/04;""09:30 16/04"";""13"""
"09:30 16/04;""10:30 16/04"";""14"""
"10:30 16/04;""11:30 16/04"";""13"""
"11:30 16/04;""12:30 16/04"";""13"""
"12:30 16/04;""13:30 16/04"";""17"""
"13:30 16/04;""14:30 16/04"";""14"""
"14:30 16/04;""15:30 16/04"";""11"""
"15:30 16/04;""16:30 16/04"";""12"""
"16:30 16/04;""17:30 16/04"";""13"""
"17:30 16/04;""18:30 16/04"";""14"""
"18:30 16/04;""19:30 16/04"";""16"""
"19:30 16/04;""20:30 16/04"";""15"""
"20:30 16/04;""21:30 16/04"";""20"""
"21:30 16/04;""22:30 16/04"";""22"""
"22:30 16/04;""23:30 16/04"";""29"""
"23:30 16/04;""00:30 17/04"";""41"""
"00:30 17/04;""01:30 17/04"";""46"""
"01:30 17/04;""02:30 17/04"";""59"""
"02:30 17/04;""03:30 17/04"";""45"""
"03:30 17/04;""04:30 17/04"";""39"""
"04:30 17/04;""05:30 17/04"";""38"""
"05:30 17/04;""06:30 17/04"";""33"""
"06:30 17/04;""07:30 17/04"";""29"""
"07:30 17/04;""08:30 17/04"";""27"""
"08:30 17/04;""09:30 17/04"";""26"""
"09:30 17/04;""10:30 17/04"";""27"""
"10:30 17/04;""11:30 17/04"";""32"""
"11:30 17/04;""12:30 17/04"";""37"""
"12:30 17/04;""13:30 17/04"";""33"""
"13:30 17/04;""14:30 17/04"";""31"""
"14:30 17/04;""15:30 17/04"";""31"""
"15:30 17/04;""16:30 17/04"";""30"""
"16:30 17/04;""17:30 17/04"";""28"""
"17:30 17/04;""18:30 17/04"";""21"""
"18:30 17/04;""19:30 17/04"";""19"""
"19:30 17/04;""20:30 17/04"";""22"""
"20:30 17/04;""21:30 17/04"";""19"""
"21:30 17/04;""22:30 17/04"";""20"""
"22:30 17/04;""23:30 17/04"";""33"""
"23:30 17/04;""00:30 18/04"";""58"""
"00:30 18/04;""01:30 18/04"";""72"""
"01:30 18/04;""02:30 18/04"";""68"""
"02:30 18/04;""03:30 18/04"";""74"""
"03:30 18/04;""04:30 18/04"";""77"""
"04:30 18/04;""05:30 18/04"";""81"""
"05:30 18/04;""06:30 18/04"";""62"""
"06:30 18/04;""07:30 18/04"";""47"""
"07:30 18/04;""08:30 18/04"";""35"""
"08:30 18/04;""09:30 18/04"";""32"""
"09:30 18/04;""10:30 18/04"";""32"""
"10:30 18/04;""11:30 18/04"";""32"""
"11:30 18/04;""12:30 18/04"";""34"""
"12:30 18/04;""13:30 18/04"";""38"""
"13:30 18/04;""14:30 18/04"";""36"""
"14:30 18/04;""15:30 18/04"";""30"""
"15:30 18/04;""16:30 18/04"";""28"""
"16:30 18/04;""17:30 18/04"";""15"""
"17:30 18/04;""18:30 18/04"";""11"""
"18:30 18/04;""19:30 18/04"";""10"""
"19:30 18/04;""20:30 18/04"";""10"""
"20:30 18/04;""21:30 18/04"";""12"""
"21:30 18/04;""22:30 18/04"";""13"""
"22:30 18/04;""23:30 18/04"";""33"""
"23:30 18/04;""00:30 19/04"";""48"""
"00:30 19/04;""01:30 19/04"";""123"""
"01:30 19/04;""02:30 19/04"";""67"""
"02:30 19/04;""03:30 19/04"";""43"""
"03:30 19/04;""04:30 19/04"";""32"""
"04:30 19/04;""05:30 19/04"";""29"""
"05:30 19/04;""06:30 19/04"";""36"""
"06:30 19/04;""07:30 19/04"";""34"""
"07:30 19/04;""08:30 19/04"";""33"""
"08:30 19/04;""09:30 19/04"";""47"""
"09:30 19/04;""10:30 19/04"";""59"""
"10:30 19/04;""11:30 19/04"";""46"""
"11:30 19/04;""12:30 19/04"";""42"""
"12:30 19/04;""13:30 19/04"";""40"""
"13:30 19/04;""14:30 19/04"";""24"""
"14:30 19/04;""15:30 19/04"";""21"""
