PM10
"00:30 06/02;""01:30 06/02"";""112"""
"01:30 06/02;""02:30 06/02"";""166"""
"02:30 06/02;""03:30 06/02"";""195"""
"03:30 06/02;""04:30 06/02"";""260"""
"04:30 06/02;""05:30 06/02"";""319"""
"05:30 06/02;""06:30 06/02"";""303"""
"06:30 06/02;""07:30 06/02"";""211"""
"07:30 06/02;""08:30 06/02"";""171"""
"08:30 06/02;""09:30 06/02"";""166"""
"09:30 06/02;""10:30 06/02"";""110"""
"10:30 06/02;""11:30 06/02"";""108"""
"11:30 06/02;""12:30 06/02"";""88"""
"12:30 06/02;""13:30 06/02"";""71"""
"13:30 06/02;""14:30 06/02"";""43"""
"14:30 06/02;""15:30 06/02"";""34"""
"15:30 06/02;""16:30 06/02"";""21"""
"16:30 06/02;""17:30 06/02"";""26"""
"17:30 06/02;""18:30 06/02"";""24"""
"18:30 06/02;""19:30 06/02"";""19"""
"19:30 06/02;""20:30 06/02"";""26"""
"20:30 06/02;""21:30 06/02"";""47"""
"21:30 06/02;""22:30 06/02"";""51"""
"22:30 06/02;""23:30 06/02"";""45"""
"23:30 06/02;""00:30 07/02"";""63"""
"00:30 07/02;""01:30 07/02"";""72"""
"01:30 07/02;""02:30 07/02"";""69"""
"02:30 07/02;""03:30 07/02"";""72"""
"03:30 07/02;""04:30 07/02"";""84"""
"04:30 07/02;""05:30 07/02"";""73"""
"05:30 07/02;""06:30 07/02"";""63"""
"06:30 07/02;""07:30 07/02"";""61"""
"07:30 07/02;""08:30 07/02"";""51"""
"08:30 07/02;""09:30 07/02"";""49"""
"09:30 07/02;""10:30 07/02"";""41"""
"10:30 07/02;""11:30 07/02"";""44"""
"11:30 07/02;""12:30 07/02"";""34"""
"12:30 07/02;""13:30 07/02"";""43"""
"13:30 07/02;""14:30 07/02"";""36"""
"14:30 07/02;""15:30 07/02"";""36"""
"15:30 07/02;""16:30 07/02"";""34"""
"16:30 07/02;""17:30 07/02"";""30"""
"17:30 07/02;""18:30 07/02"";""31"""
"18:30 07/02;""19:30 07/02"";""27"""
"19:30 07/02;""20:30 07/02"";""23"""
"20:30 07/02;""21:30 07/02"";""31"""
"21:30 07/02;""22:30 07/02"";""37"""
"22:30 07/02;""23:30 07/02"";""32"""
"23:30 07/02;""00:30 08/02"";""32"""
"00:30 08/02;""01:30 08/02"";""36"""
"01:30 08/02;""02:30 08/02"";""35"""
"02:30 08/02;""03:30 08/02"";""38"""
"03:30 08/02;""04:30 08/02"";""36"""
"04:30 08/02;""05:30 08/02"";""27"""
"05:30 08/02;""06:30 08/02"";""24"""
"06:30 08/02;""07:30 08/02"";""25"""
"07:30 08/02;""08:30 08/02"";""21"""
"08:30 08/02;""09:30 08/02"";""21"""
"09:30 08/02;""10:30 08/02"";""22"""
"10:30 08/02;""11:30 08/02"";""29"""
"11:30 08/02;""12:30 08/02"";""27"""
"12:30 08/02;""13:30 08/02"";""28"""
"13:30 08/02;""14:30 08/02"";""30"""
"14:30 08/02;""15:30 08/02"";""26"""
"15:30 08/02;""16:30 08/02"";""23"""
"16:30 08/02;""17:30 08/02"";""22"""
