From;To;ID 6436 - PM2.5
"04:30 01/02";"05:30 01/02";"11"
"05:30 01/02";"06:30 01/02";"10"
"06:30 01/02";"07:30 01/02";"10"
"07:30 01/02";"08:30 01/02";"10"
"08:30 01/02";"09:30 01/02";"15"
"09:30 01/02";"10:30 01/02";"20"
"10:30 01/02";"11:30 01/02";"25"
"11:30 01/02";"12:30 01/02";"26"
"12:30 01/02";"13:30 01/02";"25"
"13:30 01/02";"14:30 01/02";"21"
"14:30 01/02";"15:30 01/02";"15"
"15:30 01/02";"16:30 01/02";"12"
"16:30 01/02";"17:30 01/02";"12"
"17:30 01/02";"18:30 01/02";"12"
"18:30 01/02";"19:30 01/02";"10"
"19:30 01/02";"20:30 01/02";"10"
"20:30 01/02";"21:30 01/02";"26"
"21:30 01/02";"22:30 01/02";"25"
"22:30 01/02";"23:30 01/02";"25"
"23:30 01/02";"00:30 02/02";"23"
"00:30 02/02";"01:30 02/02";"19"
"01:30 02/02";"02:30 02/02";"18"
"02:30 02/02";"03:30 02/02";"17"
"03:30 02/02";"04:30 02/02";"19"
"04:30 02/02";"05:30 02/02";"12"
"05:30 02/02";"06:30 02/02";"10"
"06:30 02/02";"07:30 02/02";"10"
"07:30 02/02";"08:30 02/02";"6"
"08:30 02/02";"09:30 02/02";"5"
"09:30 02/02";"10:30 02/02";"4"
"10:30 02/02";"11:30 02/02";"3"
"11:30 02/02";"12:30 02/02";"4"
"12:30 02/02";"13:30 02/02";"4"
"13:30 02/02";"14:30 02/02";"4"
"14:30 02/02";"15:30 02/02";"6"
"15:30 02/02";"16:30 02/02";"7"
"16:30 02/02";"17:30 02/02";"8"
"17:30 02/02";"18:30 02/02";"8"
"18:30 02/02";"19:30 02/02";"5"
"19:30 02/02";"20:30 02/02";"3"
"20:30 02/02";"21:30 02/02";"8"
"21:30 02/02";"22:30 02/02";"13"
"22:30 02/02";"23:30 02/02";"14"
"23:30 02/02";"00:30 03/02";"10"
"00:30 03/02";"01:30 03/02";"16"
"01:30 03/02";"02:30 03/02";"24"
"02:30 03/02";"03:30 03/02";"25"
"03:30 03/02";"04:30 03/02";"16"
"04:30 03/02";"05:30 03/02";"15"
"05:30 03/02";"06:30 03/02";"13"
"06:30 03/02";"07:30 03/02";"15"
"07:30 03/02";"08:30 03/02";"15"
"08:30 03/02";"09:30 03/02";"14"
