"From";"To";"ID 6437 - PM10"
"01/01/2019";"02/01/2019";"28"
"02/01/2019";"03/01/2019";"8"
"03/01/2019";"04/01/2019";"7"
"04/01/2019";"05/01/2019";"39"
"05/01/2019";"06/01/2019";"17"
"06/01/2019";"07/01/2019";"54"
"07/01/2019";"08/01/2019";"136"
"08/01/2019";"09/01/2019";"75"
"09/01/2019";"10/01/2019";"82"
"10/01/2019";"11/01/2019";"75"
"11/01/2019";"12/01/2019";"74"
"12/01/2019";"13/01/2019";"38"
"13/01/2019";"14/01/2019";"36"
"14/01/2019";"15/01/2019";"14"
"15/01/2019";"16/01/2019";"20"
"16/01/2019";"17/01/2019";"34"
"17/01/2019";"18/01/2019";"45"
"18/01/2019";"19/01/2019";"27"
"19/01/2019";"20/01/2019";"59"
"20/01/2019";"21/01/2019";"122"
"21/01/2019";"22/01/2019";"71"
"22/01/2019";"23/01/2019";"98"
"23/01/2019";"24/01/2019";"77"
"24/01/2019";"25/01/2019";"45"
"25/01/2019";"26/01/2019";"49"
"26/01/2019";"27/01/2019";"102"
"27/01/2019";"28/01/2019";"112"
"28/01/2019";"29/01/2019";"85"
"29/01/2019";"30/01/2019";"66"
"30/01/2019";"31/01/2019";"78"
"31/01/2019";"01/02/2019";"83"
"01/02/2019";"02/02/2019";"75"
"02/02/2019";"03/02/2019";"39"
"03/02/2019";"04/02/2019";"70"
"04/02/2019";"05/02/2019";"33"
"05/02/2019";"06/02/2019";"55"
"06/02/2019";"07/02/2019";"72"
"07/02/2019";"08/02/2019";"62"
"08/02/2019";"09/02/2019";"68"
"09/02/2019";"10/02/2019";"68"
"10/02/2019";"11/02/2019";"46"
"11/02/2019";"12/02/2019";"36"
"12/02/2019";"13/02/2019";"18"
"13/02/2019";"14/02/2019";"38"
"14/02/2019";"15/02/2019";"39"
"15/02/2019";"16/02/2019";"63"
"16/02/2019";"17/02/2019";"59"
"17/02/2019";"18/02/2019";"64"
"18/02/2019";"19/02/2019";"68"
"19/02/2019";"20/02/2019";"81"
"20/02/2019";"21/02/2019";"23"
"21/02/2019";"22/02/2019";"42"
"22/02/2019";"23/02/2019";"11"
"23/02/2019";"24/02/2019";"32"
"24/02/2019";"25/02/2019";"56"
"25/02/2019";"26/02/2019";"66"
"26/02/2019";"27/02/2019";"28"
"27/02/2019";"28/02/2019";"33"
"28/02/2019";"01/03/2019";"50"
"01/03/2019";"02/03/2019";"34"
"02/03/2019";"03/03/2019";"39"
"03/03/2019";"04/03/2019";"62"
"04/03/2019";"05/03/2019";"21"
"05/03/2019";"06/03/2019";"13"
"06/03/2019";"07/03/2019";"38"
"07/03/2019";"08/03/2019";"41"
"08/03/2019";"09/03/2019";"14"
"09/03/2019";"10/03/2019";"25"
"10/03/2019";"11/03/2019";"15"
"11/03/2019";"12/03/2019";"21"
"12/03/2019";"13/03/2019";"32"
"13/03/2019";"14/03/2019";"47"
"14/03/2019";"15/03/2019";"37"
"15/03/2019";"16/03/2019";"29"
"16/03/2019";"17/03/2019";"15"
"17/03/2019";"18/03/2019";"36"
"18/03/2019";"19/03/2019";"16"
"19/03/2019";"20/03/2019";"26"
"20/03/2019";"21/03/2019";"34"
"21/03/2019";"22/03/2019";"29"
"22/03/2019";"23/03/2019";"42"
"23/03/2019";"24/03/2019";"59"
"24/03/2019";"25/03/2019";"44"
"25/03/2019";"26/03/2019";"43"
"26/03/2019";"27/03/2019";"27"
"27/03/2019";"28/03/2019";"17"
"28/03/2019";"29/03/2019";"34"
"29/03/2019";"30/03/2019";"39"
"30/03/2019";"31/03/2019";"57"
"31/03/2019";"01/04/2019";"57"
"01/04/2019";"02/04/2019";"32"
"02/04/2019";"03/04/2019";"25"
"03/04/2019";"04/04/2019";"29"
"04/04/2019";"05/04/2019";"45"
"05/04/2019";"06/04/2019";"46"
"06/04/2019";"07/04/2019";"45"
"07/04/2019";"08/04/2019";"58"
"08/04/2019";"09/04/2019";"88"
"09/04/2019";"10/04/2019";"28"
"10/04/2019";"11/04/2019";"24"
"11/04/2019";"12/04/2019";"28"
"12/04/2019";"13/04/2019";"34"
"13/04/2019";"14/04/2019";"32"
"14/04/2019";"15/04/2019";"20"
"15/04/2019";"16/04/2019";"33"
"16/04/2019";"17/04/2019";"36"
"17/04/2019";"18/04/2019";"37"
"18/04/2019";"19/04/2019";"40"
"19/04/2019";"20/04/2019";"26"
"20/04/2019";"21/04/2019";"23"
"21/04/2019";"22/04/2019";"21"
"22/04/2019";"23/04/2019";"30"
"23/04/2019";"24/04/2019";"30"
"24/04/2019";"25/04/2019";"24"
"25/04/2019";"26/04/2019";"27"
"26/04/2019";"27/04/2019";"34"
"27/04/2019";"28/04/2019";"45"
"28/04/2019";"29/04/2019";"22"
"29/04/2019";"30/04/2019";"44"
"30/04/2019";"01/05/2019";"35"
"01/05/2019";"02/05/2019";"21"
"02/05/2019";"03/05/2019";"27"
"03/05/2019";"04/05/2019";"20"
"04/05/2019";"05/05/2019";"30"
"05/05/2019";"06/05/2019";"9"
"06/05/2019";"07/05/2019";"9"
"07/05/2019";"08/05/2019";"24"
"08/05/2019";"09/05/2019";"41"
"09/05/2019";"10/05/2019";"19"
"10/05/2019";"11/05/2019";"48"
"11/05/2019";"12/05/2019";"44"
"12/05/2019";"13/05/2019";"33"
"13/05/2019";"14/05/2019";"14"
"14/05/2019";"15/05/2019";"15"
"15/05/2019";"16/05/2019";"27"
"16/05/2019";"17/05/2019";"31"
"17/05/2019";"18/05/2019";"21"
"18/05/2019";"19/05/2019";"35"
"19/05/2019";"20/05/2019";"23"
"20/05/2019";"21/05/2019";"28"
"21/05/2019";"22/05/2019";"18"
"22/05/2019";"23/05/2019";"9"
"23/05/2019";"24/05/2019";"24"
"24/05/2019";"25/05/2019";"14"
"25/05/2019";"26/05/2019";"20"
"26/05/2019";"27/05/2019";"15"
"27/05/2019";"28/05/2019";"19"
"28/05/2019";"29/05/2019";"26"
"29/05/2019";"30/05/2019";"8"
"30/05/2019";"31/05/2019";"6"
"31/05/2019";"01/06/2019";"15"
"01/06/2019";"02/06/2019";"19"
"02/06/2019";"03/06/2019";"24"
"03/06/2019";"04/06/2019";"11"
"04/06/2019";"05/06/2019";"22"
"05/06/2019";"06/06/2019";"23"
"06/06/2019";"07/06/2019";"21"
"07/06/2019";"08/06/2019";"18"
"08/06/2019";"09/06/2019";"33"
"09/06/2019";"10/06/2019";"8"
"10/06/2019";"11/06/2019";"19"
"11/06/2019";"12/06/2019";"29"
"12/06/2019";"13/06/2019";"26"
"13/06/2019";"14/06/2019";"29"
"14/06/2019";"15/06/2019";"18"
"15/06/2019";"16/06/2019";"26"
"16/06/2019";"17/06/2019";"21"
"17/06/2019";"18/06/2019";"10"
"18/06/2019";"19/06/2019";"9"
"19/06/2019";"20/06/2019";"22"
"20/06/2019";"21/06/2019";"27"
"21/06/2019";"22/06/2019";"20"
"22/06/2019";"23/06/2019";"9"
"23/06/2019";"24/06/2019";"5"
"24/06/2019";"25/06/2019";"8"
"25/06/2019";"26/06/2019";"14"
"26/06/2019";"27/06/2019";"26"
"27/06/2019";"28/06/2019";"18"
"28/06/2019";"29/06/2019";"7"
"29/06/2019";"30/06/2019";"6"
"30/06/2019";"01/07/2019";"13"
"01/07/2019";"02/07/2019";"13"
"02/07/2019";"03/07/2019";"6"
"03/07/2019";"04/07/2019";"3"
"04/07/2019";"05/07/2019";"4"
"05/07/2019";"06/07/2019";""
"06/07/2019";"07/07/2019";""
