"From";"To";"ID 6437 - PM10"
"01/01/2021";"02/01/2021";"57"
"02/01/2021";"03/01/2021";"72"
"03/01/2021";"04/01/2021";"62"
"04/01/2021";"05/01/2021";"47"
"05/01/2021";"06/01/2021";"24"
"06/01/2021";"07/01/2021";"45"
"07/01/2021";"08/01/2021";"42"
"08/01/2021";"09/01/2021";"57"
"09/01/2021";"10/01/2021";"65"
"10/01/2021";"11/01/2021";"50"
"11/01/2021";"12/01/2021";"59"
"12/01/2021";"13/01/2021";"61"
"13/01/2021";"14/01/2021";"38"
"14/01/2021";"15/01/2021";"49"
"15/01/2021";"16/01/2021";"45"
"16/01/2021";"17/01/2021";"58"
"17/01/2021";"18/01/2021";"104"
"18/01/2021";"19/01/2021";"228"
"19/01/2021";"20/01/2021";"159"
"20/01/2021";"21/01/2021";"69"
"21/01/2021";"22/01/2021";"55"
"22/01/2021";"23/01/2021";"52"
"23/01/2021";"24/01/2021";"51"
"24/01/2021";"25/01/2021";"44"
"25/01/2021";"26/01/2021";"41"
"26/01/2021";"27/01/2021";"33"
"27/01/2021";"28/01/2021";"29"
"28/01/2021";"29/01/2021";"46"
"29/01/2021";"30/01/2021";"25"
"30/01/2021";"31/01/2021";"49"
"31/01/2021";"01/02/2021";"44"
"01/02/2021";"02/02/2021";"97"
"02/02/2021";"03/02/2021";"68"
"03/02/2021";"04/02/2021";"70"
"04/02/2021";"05/02/2021";"29"
"05/02/2021";"06/02/2021";"60"
"06/02/2021";"07/02/2021";"72"
"07/02/2021";"08/02/2021";"42"
"08/02/2021";"09/02/2021";"24"
"09/02/2021";"10/02/2021";"45"
"10/02/2021";"11/02/2021";"81"
"11/02/2021";"12/02/2021";"44"
"12/02/2021";"13/02/2021";"27"
"13/02/2021";"14/02/2021";"32"
"14/02/2021";"15/02/2021";"17"
"15/02/2021";"16/02/2021";"32"
"16/02/2021";"17/02/2021";"42"
"17/02/2021";"18/02/2021";"72"
"18/02/2021";"19/02/2021";"54"
"19/02/2021";"20/02/2021";"52"
"20/02/2021";"21/02/2021";"41"
"21/02/2021";"22/02/2021";"49"
"22/02/2021";"23/02/2021";"63"
"23/02/2021";"24/02/2021";"83"
"24/02/2021";"25/02/2021";"54"
"25/02/2021";"26/02/2021";"45"
"26/02/2021";"27/02/2021";"30"
"27/02/2021";"28/02/2021";"10"
"28/02/2021";"01/03/2021";"28"
"01/03/2021";"02/03/2021";"26"
"02/03/2021";"03/03/2021";"48"
"03/03/2021";"04/03/2021";"52"
"04/03/2021";"05/03/2021";"38"
"05/03/2021";"06/03/2021";"15"
"06/03/2021";"07/03/2021";"16"
"07/03/2021";"08/03/2021";"12"
"08/03/2021";"09/03/2021";"14"
"09/03/2021";"10/03/2021";"39"
"10/03/2021";"11/03/2021";"51"
"11/03/2021";"12/03/2021";"42"
"12/03/2021";"13/03/2021";"23"
"13/03/2021";"14/03/2021";"15"
"14/03/2021";"15/03/2021";"7"
"15/03/2021";"16/03/2021";"35"
"16/03/2021";"17/03/2021";"52"
"17/03/2021";"18/03/2021";"15"
"18/03/2021";"19/03/2021";"16"
"19/03/2021";"20/03/2021";"20"
"20/03/2021";"21/03/2021";"11"
"21/03/2021";"22/03/2021";"27"
"22/03/2021";"23/03/2021";"15"
"23/03/2021";"24/03/2021";"15"
"24/03/2021";"25/03/2021";"23"
"25/03/2021";"26/03/2021";"43"
"26/03/2021";"27/03/2021";"51"
"27/03/2021";"28/03/2021";"31"
"28/03/2021";"29/03/2021";"17"
"29/03/2021";"30/03/2021";"27"
"30/03/2021";"31/03/2021";"30"
"31/03/2021";"01/04/2021";"35"
"01/04/2021";"02/04/2021";"37"
"02/04/2021";"03/04/2021";"9"
"03/04/2021";"04/04/2021";"7"
"04/04/2021";"05/04/2021";"10"
"05/04/2021";"06/04/2021";"16"
"06/04/2021";"07/04/2021";"12"
"07/04/2021";"08/04/2021";"19"
"08/04/2021";"09/04/2021";"18"
"09/04/2021";"10/04/2021";"20"
"10/04/2021";"11/04/2021";"36"
"11/04/2021";"12/04/2021";"28"
"12/04/2021";"13/04/2021";"15"
"13/04/2021";"14/04/2021";"12"
"14/04/2021";"15/04/2021";"10"
"15/04/2021";"16/04/2021";"15"
"16/04/2021";"17/04/2021";"17"
"17/04/2021";"18/04/2021";"26"
"18/04/2021";"19/04/2021";"30"
"19/04/2021";"20/04/2021";"31"
"20/04/2021";"21/04/2021";"28"
"21/04/2021";"22/04/2021";"31"
"22/04/2021";"23/04/2021";"12"
"23/04/2021";"24/04/2021";"10"
"24/04/2021";"25/04/2021";"15"
"25/04/2021";"26/04/2021";"16"
"26/04/2021";"27/04/2021";"29"
"27/04/2021";"28/04/2021";"35"
"28/04/2021";"29/04/2021";"40"
"29/04/2021";"30/04/2021";"31"
"30/04/2021";"01/05/2021";"24"
"01/05/2021";"02/05/2021";"33"
"02/05/2021";"03/05/2021";"20"
"03/05/2021";"04/05/2021";"7"
"04/05/2021";"05/05/2021";"14"
"05/05/2021";"06/05/2021";"12"
"06/05/2021";"07/05/2021";"8"
"07/05/2021";"08/05/2021";"19"
"08/05/2021";"09/05/2021";"13"
"09/05/2021";"10/05/2021";"22"
"10/05/2021";"11/05/2021";"9"
"11/05/2021";"12/05/2021";"11"
"12/05/2021";"13/05/2021";"10"
"13/05/2021";"14/05/2021";"6"
"14/05/2021";"15/05/2021";"17"
"15/05/2021";"16/05/2021";"14"
"16/05/2021";"17/05/2021";"22"
"17/05/2021";"18/05/2021";"14"
"18/05/2021";"19/05/2021";"20"
"19/05/2021";"20/05/2021";"13"
"20/05/2021";"21/05/2021";"13"
"21/05/2021";"22/05/2021";"13"
"22/05/2021";"23/05/2021";"5"
"23/05/2021";"24/05/2021";"8"
"24/05/2021";"25/05/2021";"11"
"25/05/2021";"26/05/2021";"12"
"26/05/2021";"27/05/2021";"6"
"27/05/2021";"28/05/2021";"11"
"28/05/2021";"29/05/2021";"16"
"29/05/2021";"30/05/2021";"11"
"30/05/2021";"31/05/2021";"7"
"31/05/2021";"01/06/2021";"10"
"01/06/2021";"02/06/2021";"19"
"02/06/2021";"03/06/2021";"15"
"03/06/2021";"04/06/2021";"19"
"04/06/2021";"05/06/2021";"23"
"05/06/2021";"06/06/2021";"19"
"06/06/2021";"07/06/2021";"17"
"07/06/2021";"08/06/2021";"13"
"08/06/2021";"09/06/2021";"17"
"09/06/2021";"10/06/2021";"15"
"10/06/2021";"11/06/2021";"10"
"11/06/2021";"12/06/2021";"11"
"12/06/2021";"13/06/2021";"21"
"13/06/2021";"14/06/2021";"7"
"14/06/2021";"15/06/2021";"5"
"15/06/2021";"16/06/2021";"18"
"16/06/2021";"17/06/2021";"10"
"17/06/2021";"18/06/2021";"12"
"18/06/2021";"19/06/2021";"23"
"19/06/2021";"20/06/2021";"23"
"20/06/2021";"21/06/2021";"23"
"21/06/2021";"22/06/2021";"17"
"22/06/2021";"23/06/2021";"24"
"23/06/2021";"24/06/2021";"33"
"24/06/2021";"25/06/2021";"19"
"25/06/2021";"26/06/2021";"23"
"26/06/2021";"27/06/2021";"12"
"27/06/2021";"28/06/2021";"14"
"28/06/2021";"29/06/2021";"14"
"29/06/2021";"30/06/2021";"15"
"30/06/2021";"01/07/2021";"23"
"01/07/2021";"02/07/2021";"11"
"02/07/2021";"03/07/2021";"15"
"03/07/2021";"04/07/2021";"13"
"04/07/2021";"05/07/2021";"19"
"05/07/2021";"06/07/2021";"23"
"06/07/2021";"07/07/2021";"23"
"07/07/2021";"08/07/2021";"32"
"08/07/2021";"09/07/2021";"40"
"09/07/2021";"10/07/2021";"21"
"10/07/2021";"11/07/2021";"14"
"11/07/2021";"12/07/2021";"17"
"12/07/2021";"13/07/2021";"20"
"13/07/2021";"14/07/2021";"25"
"14/07/2021";"15/07/2021";"34"
"15/07/2021";"16/07/2021";"9"
"16/07/2021";"17/07/2021";"15"
"17/07/2021";"18/07/2021";"18"
"18/07/2021";"19/07/2021";"15"
"19/07/2021";"20/07/2021";"11"
"20/07/2021";"21/07/2021";"8"
"21/07/2021";"22/07/2021";"9"
"22/07/2021";"23/07/2021";"9"
"23/07/2021";"24/07/2021";"19"
"24/07/2021";"25/07/2021";"28"
"25/07/2021";"26/07/2021";"24"
"26/07/2021";"27/07/2021";"25"
"27/07/2021";"28/07/2021";"31"
"28/07/2021";"29/07/2021";"18"
"29/07/2021";"30/07/2021";"15"
"30/07/2021";"31/07/2021";"13"
"31/07/2021";"01/08/2021";"16"
"01/08/2021";"02/08/2021";"11"
