From;To;ID 2851 - PM2.5
"04:30 01/12";"05:30 01/12";"44"
"05:30 01/12";"06:30 01/12";"46"
"06:30 01/12";"07:30 01/12";"50"
"07:30 01/12";"08:30 01/12";"56"
"08:30 01/12";"09:30 01/12";"52"
"09:30 01/12";"10:30 01/12";"55"
"10:30 01/12";"11:30 01/12";"50"
"11:30 01/12";"12:30 01/12";"63"
"12:30 01/12";"13:30 01/12";"58"
"13:30 01/12";"14:30 01/12";"48"
"14:30 01/12";"15:30 01/12";"45"
"15:30 01/12";"16:30 01/12";"40"
"16:30 01/12";"17:30 01/12";"34"
"17:30 01/12";"18:30 01/12";"28"
"18:30 01/12";"19:30 01/12";"31"
"19:30 01/12";"20:30 01/12";"38"
"20:30 01/12";"21:30 01/12";"52"
"21:30 01/12";"22:30 01/12";"56"
"22:30 01/12";"23:30 01/12";"68"
"23:30 01/12";"00:30 02/12";"67"
"00:30 02/12";"01:30 02/12";"69"
"01:30 02/12";"02:30 02/12";"62"
"02:30 02/12";"03:30 02/12";"61"
"03:30 02/12";"04:30 02/12";"51"
"04:30 02/12";"05:30 02/12";"51"
"05:30 02/12";"06:30 02/12";"49"
"06:30 02/12";"07:30 02/12";"49"
"07:30 02/12";"08:30 02/12";"45"
"08:30 02/12";"09:30 02/12";"42"
"09:30 02/12";"10:30 02/12";"37"
"10:30 02/12";"11:30 02/12";"35"
"11:30 02/12";"12:30 02/12";"40"
"12:30 02/12";"13:30 02/12";"37"
"13:30 02/12";"14:30 02/12";"36"
"14:30 02/12";"15:30 02/12";"33"
"15:30 02/12";"16:30 02/12";"34"
"16:30 02/12";"17:30 02/12";"35"
"17:30 02/12";"18:30 02/12";"34"
"18:30 02/12";"19:30 02/12";"39"
"19:30 02/12";"20:30 02/12";"43"
"20:30 02/12";"21:30 02/12";"45"
"21:30 02/12";"22:30 02/12";"42"
"22:30 02/12";"23:30 02/12";"42"
"23:30 02/12";"00:30 03/12";"41"
"00:30 03/12";"01:30 03/12";"42"
"01:30 03/12";"02:30 03/12";"44"
"02:30 03/12";"03:30 03/12";"41"
"03:30 03/12";"04:30 03/12";"36"
"04:30 03/12";"05:30 03/12";"35"
"05:30 03/12";"06:30 03/12";"34"
"06:30 03/12";"07:30 03/12";"35"
"07:30 03/12";"08:30 03/12";"39"
"08:30 03/12";"09:30 03/12";"38"
"09:30 03/12";"10:30 03/12";"34"
"10:30 03/12";"11:30 03/12";"32"
"11:30 03/12";"12:30 03/12";"40"
"12:30 03/12";"13:30 03/12";"36"
"13:30 03/12";"14:30 03/12";"38"
"14:30 03/12";"15:30 03/12";"35"
"15:30 03/12";"16:30 03/12";"36"
"16:30 03/12";"17:30 03/12";"36"
"17:30 03/12";"18:30 03/12";"36"
"18:30 03/12";"19:30 03/12";"40"
"19:30 03/12";"20:30 03/12";"42"
"20:30 03/12";"21:30 03/12";"41"
"21:30 03/12";"22:30 03/12";"36"
"22:30 03/12";"23:30 03/12";"38"
"23:30 03/12";"00:30 04/12";"42"
"00:30 04/12";"01:30 04/12";"41"
"01:30 04/12";"02:30 04/12";"39"
"02:30 04/12";"03:30 04/12";"37"
"03:30 04/12";"04:30 04/12";"34"
"04:30 04/12";"05:30 04/12";"33"
"05:30 04/12";"06:30 04/12";"31"
"06:30 04/12";"07:30 04/12";"30"
"07:30 04/12";"08:30 04/12";"29"
"08:30 04/12";"09:30 04/12";"28"
"09:30 04/12";"10:30 04/12";"27"
"10:30 04/12";"11:30 04/12";"26"
"11:30 04/12";"12:30 04/12";"34"
"12:30 04/12";"13:30 04/12";"29"
"13:30 04/12";"14:30 04/12";"28"
"14:30 04/12";"15:30 04/12";"27"
"15:30 04/12";"16:30 04/12";"29"
"16:30 04/12";"17:30 04/12";"27"
"17:30 04/12";"18:30 04/12";"27"
"18:30 04/12";"19:30 04/12";"31"
"19:30 04/12";"20:30 04/12";"33"
"20:30 04/12";"21:30 04/12";"36"
"21:30 04/12";"22:30 04/12";"42"
"22:30 04/12";"23:30 04/12";"39"
"23:30 04/12";"00:30 05/12";"52"
"00:30 05/12";"01:30 05/12";"41"
"01:30 05/12";"02:30 05/12";"36"
"02:30 05/12";"03:30 05/12";"35"
"03:30 05/12";"04:30 05/12";"34"
"04:30 05/12";"05:30 05/12";"31"
"05:30 05/12";"06:30 05/12";"29"
"06:30 05/12";"07:30 05/12";"27"
"07:30 05/12";"08:30 05/12";"26"
"08:30 05/12";"09:30 05/12";"25"
"09:30 05/12";"10:30 05/12";"24"
"10:30 05/12";"11:30 05/12";"24"
"11:30 05/12";"12:30 05/12";"30"
"12:30 05/12";"13:30 05/12";"31"
"13:30 05/12";"14:30 05/12";"28"
"14:30 05/12";"15:30 05/12";"26"
"15:30 05/12";"16:30 05/12";"25"
"16:30 05/12";"17:30 05/12";"23"
"17:30 05/12";"18:30 05/12";"22"
"18:30 05/12";"19:30 05/12";"25"
"19:30 05/12";"20:30 05/12";"28"
"20:30 05/12";"21:30 05/12";"35"
"21:30 05/12";"22:30 05/12";"32"
"22:30 05/12";"23:30 05/12";"32"
"23:30 05/12";"00:30 06/12";"35"
"00:30 06/12";"01:30 06/12";"36"
