From;To;ID 6436 - PM2.5
"04:30 01/01";"05:30 01/01";"78"
"05:30 01/01";"06:30 01/01";"34"
"06:30 01/01";"07:30 01/01";"33"
"07:30 01/01";"08:30 01/01";"35"
"08:30 01/01";"09:30 01/01";"31"
"09:30 01/01";"10:30 01/01";"29"
"10:30 01/01";"11:30 01/01";"28"
"11:30 01/01";"12:30 01/01";"24"
"12:30 01/01";"13:30 01/01";"25"
"13:30 01/01";"14:30 01/01";"24"
"14:30 01/01";"15:30 01/01";"24"
"15:30 01/01";"16:30 01/01";"21"
"16:30 01/01";"17:30 01/01";"16"
"17:30 01/01";"18:30 01/01";"13"
"18:30 01/01";"19:30 01/01";"13"
"19:30 01/01";"20:30 01/01";"10"
"20:30 01/01";"21:30 01/01";"9"
"21:30 01/01";"22:30 01/01";"17"
"22:30 01/01";"23:30 01/01";"13"
"23:30 01/01";"00:30 02/01";"9"
"00:30 02/01";"01:30 02/01";"12"
"01:30 02/01";"02:30 02/01";"9"
"02:30 02/01";"03:30 02/01";"7"
"03:30 02/01";"04:30 02/01";"6"
"04:30 02/01";"05:30 02/01";"9"
"05:30 02/01";"06:30 02/01";"8"
"06:30 02/01";"07:30 02/01";"5"
"07:30 02/01";"08:30 02/01";"7"
"08:30 02/01";"09:30 02/01";"5"
"09:30 02/01";"10:30 02/01";"4"
"10:30 02/01";"11:30 02/01";"3"
"11:30 02/01";"12:30 02/01";"3"
"12:30 02/01";"13:30 02/01";"2"
"13:30 02/01";"14:30 02/01";"2"
"14:30 02/01";"15:30 02/01";"2"
"15:30 02/01";"16:30 02/01";"3"
"16:30 02/01";"17:30 02/01";"3"
"17:30 02/01";"18:30 02/01";"2"
"18:30 02/01";"19:30 02/01";"3"
"19:30 02/01";"20:30 02/01";"3"
"20:30 02/01";"21:30 02/01";"4"
"21:30 02/01";"22:30 02/01";"6"
"22:30 02/01";"23:30 02/01";"8"
"23:30 02/01";"00:30 03/01";"9"
"00:30 03/01";"01:30 03/01";"10"
"01:30 03/01";"02:30 03/01";"6"
"02:30 03/01";"03:30 03/01";"4"
"03:30 03/01";"04:30 03/01";"2"
"04:30 03/01";"05:30 03/01";"2"
"05:30 03/01";"06:30 03/01";"3"
"06:30 03/01";"07:30 03/01";"2"
"07:30 03/01";"08:30 03/01";"1"
"08:30 03/01";"09:30 03/01";"2"
"09:30 03/01";"10:30 03/01";"3"
"10:30 03/01";"11:30 03/01";"3"
"11:30 03/01";"12:30 03/01";"3"
"12:30 03/01";"13:30 03/01";"3"
"13:30 03/01";"14:30 03/01";"4"
"14:30 03/01";"15:30 03/01";"3"
"15:30 03/01";"16:30 03/01";"1"
"16:30 03/01";"17:30 03/01";"1"
"17:30 03/01";"18:30 03/01";"1"
"18:30 03/01";"19:30 03/01";"1"
"19:30 03/01";"20:30 03/01";"3"
"20:30 03/01";"21:30 03/01";"4"
"21:30 03/01";"22:30 03/01";"8"
"22:30 03/01";"23:30 03/01";"7"
"23:30 03/01";"00:30 04/01";"9"
"00:30 04/01";"01:30 04/01";"10"
"01:30 04/01";"02:30 04/01";"11"
"02:30 04/01";"03:30 04/01";"9"
"03:30 04/01";"04:30 04/01";"8"
"04:30 04/01";"05:30 04/01";"8"
"05:30 04/01";"06:30 04/01";"6"
"06:30 04/01";"07:30 04/01";"7"
"07:30 04/01";"08:30 04/01";"6"
"08:30 04/01";"09:30 04/01";"5"
"09:30 04/01";"10:30 04/01";"8"
"10:30 04/01";"11:30 04/01";"14"
"11:30 04/01";"12:30 04/01";"21"
"12:30 04/01";"13:30 04/01";"34"
"13:30 04/01";"14:30 04/01";"36"
"14:30 04/01";"15:30 04/01";"34"
"15:30 04/01";"16:30 04/01";"33"
"16:30 04/01";"17:30 04/01";"29"
"17:30 04/01";"18:30 04/01";"28"
"18:30 04/01";"19:30 04/01";"26"
"19:30 04/01";"20:30 04/01";"31"
"20:30 04/01";"21:30 04/01";"34"
"21:30 04/01";"22:30 04/01";"37"
"22:30 04/01";"23:30 04/01";"49"
"23:30 04/01";"00:30 05/01";"41"
"00:30 05/01";"01:30 05/01";"40"
"01:30 05/01";"02:30 05/01";"42"
"02:30 05/01";"03:30 05/01";"43"
"03:30 05/01";"04:30 05/01";"40"
"04:30 05/01";"05:30 05/01";"34"
"05:30 05/01";"06:30 05/01";"27"
"06:30 05/01";"07:30 05/01";"19"
"07:30 05/01";"08:30 05/01";"17"
"08:30 05/01";"09:30 05/01";"19"
"09:30 05/01";"10:30 05/01";"16"
"10:30 05/01";"11:30 05/01";"14"
"11:30 05/01";"12:30 05/01";"16"
"12:30 05/01";"13:30 05/01";"20"
"13:30 05/01";"14:30 05/01";"16"
"14:30 05/01";"15:30 05/01";"10"
"15:30 05/01";"16:30 05/01";"6"
"16:30 05/01";"17:30 05/01";"9"
"17:30 05/01";"18:30 05/01";"4"
"18:30 05/01";"19:30 05/01";"6"
"19:30 05/01";"20:30 05/01";"5"
"20:30 05/01";"21:30 05/01";"4"
"21:30 05/01";"22:30 05/01";"4"
"22:30 05/01";"23:30 05/01";"7"
"23:30 05/01";"00:30 06/01";"8"
"00:30 06/01";"01:30 06/01";"9"
"01:30 06/01";"02:30 06/01";"11"
"02:30 06/01";"03:30 06/01";"15"
"03:30 06/01";"04:30 06/01";"10"
"04:30 06/01";"05:30 06/01";"10"
"05:30 06/01";"06:30 06/01";"8"
"06:30 06/01";"07:30 06/01";"7"
"07:30 06/01";"08:30 06/01";"10"
"08:30 06/01";"09:30 06/01";"7"
"09:30 06/01";"10:30 06/01";"6"
"10:30 06/01";"11:30 06/01";"6"
"11:30 06/01";"12:30 06/01";"6"
"12:30 06/01";"13:30 06/01";"6"
"13:30 06/01";"14:30 06/01";"8"
"14:30 06/01";"15:30 06/01";"14"
"15:30 06/01";"16:30 06/01";"10"
"16:30 06/01";"17:30 06/01";"12"
"17:30 06/01";"18:30 06/01";"12"
"18:30 06/01";"19:30 06/01";"13"
"19:30 06/01";"20:30 06/01";"19"
"20:30 06/01";"21:30 06/01";"32"
"21:30 06/01";"22:30 06/01";"32"
"22:30 06/01";"23:30 06/01";"35"
"23:30 06/01";"00:30 07/01";"42"
"00:30 07/01";"01:30 07/01";"47"
"01:30 07/01";"02:30 07/01";"47"
"02:30 07/01";"03:30 07/01";"55"
"03:30 07/01";"04:30 07/01";"56"
"04:30 07/01";"05:30 07/01";"74"
"05:30 07/01";"06:30 07/01";"87"
"06:30 07/01";"07:30 07/01";"74"
"07:30 07/01";"08:30 07/01";"72"
"08:30 07/01";"09:30 07/01";"68"
"09:30 07/01";"10:30 07/01";"81"
"10:30 07/01";"11:30 07/01";"107"
"11:30 07/01";"12:30 07/01";"167"
"12:30 07/01";"13:30 07/01";"155"
"13:30 07/01";"14:30 07/01";"126"
"14:30 07/01";"15:30 07/01";"122"
"15:30 07/01";"16:30 07/01";"64"
"16:30 07/01";"17:30 07/01";"47"
"17:30 07/01";"18:30 07/01";"47"
"18:30 07/01";"19:30 07/01";"43"
"19:30 07/01";"20:30 07/01";"42"
"20:30 07/01";"21:30 07/01";"51"
"21:30 07/01";"22:30 07/01";"50"
"22:30 07/01";"23:30 07/01";"53"
"23:30 07/01";"00:30 08/01";"56"
"00:30 08/01";"01:30 08/01";"59"
"01:30 08/01";"02:30 08/01";"57"
"02:30 08/01";"03:30 08/01";"59"
"03:30 08/01";"04:30 08/01";"65"
"04:30 08/01";"05:30 08/01";"63"
"05:30 08/01";"06:30 08/01";"58"
"06:30 08/01";"07:30 08/01";"54"
"07:30 08/01";"08:30 08/01";"49"
"08:30 08/01";"09:30 08/01";"47"
"09:30 08/01";"10:30 08/01";"47"
"10:30 08/01";"11:30 08/01";"50"
"11:30 08/01";"12:30 08/01";"53"
"12:30 08/01";"13:30 08/01";"55"
"13:30 08/01";"14:30 08/01";"57"
"14:30 08/01";"15:30 08/01";"55"
"15:30 08/01";"16:30 08/01";"55"
"16:30 08/01";"17:30 08/01";"51"
"17:30 08/01";"18:30 08/01";"51"
"18:30 08/01";"19:30 08/01";"50"
"19:30 08/01";"20:30 08/01";"62"
"20:30 08/01";"21:30 08/01";"51"
"21:30 08/01";"22:30 08/01";"49"
"22:30 08/01";"23:30 08/01";"59"
"23:30 08/01";"00:30 09/01";"60"
"00:30 09/01";"01:30 09/01";"63"
"01:30 09/01";"02:30 09/01";"59"
"02:30 09/01";"03:30 09/01";"61"
"03:30 09/01";"04:30 09/01";"52"
"04:30 09/01";"05:30 09/01";"49"
"05:30 09/01";"06:30 09/01";"47"
"06:30 09/01";"07:30 09/01";"47"
"07:30 09/01";"08:30 09/01";"46"
"08:30 09/01";"09:30 09/01";"46"
"09:30 09/01";"10:30 09/01";"46"
"10:30 09/01";"11:30 09/01";"47"
"11:30 09/01";"12:30 09/01";"49"
"12:30 09/01";"13:30 09/01";"51"
"13:30 09/01";"14:30 09/01";"50"
"14:30 09/01";"15:30 09/01";"49"
"15:30 09/01";"16:30 09/01";"49"
"16:30 09/01";"17:30 09/01";"52"
"17:30 09/01";"18:30 09/01";"51"
"18:30 09/01";"19:30 09/01";"49"
"19:30 09/01";"20:30 09/01";"48"
"20:30 09/01";"21:30 09/01";"49"
"21:30 09/01";"22:30 09/01";"50"
"22:30 09/01";"23:30 09/01";"51"
"23:30 09/01";"00:30 10/01";"53"
"00:30 10/01";"01:30 10/01";"55"
"01:30 10/01";"02:30 10/01";"57"
"02:30 10/01";"03:30 10/01";"56"
"03:30 10/01";"04:30 10/01";"53"
"04:30 10/01";"05:30 10/01";"51"
"05:30 10/01";"06:30 10/01";"48"
"06:30 10/01";"07:30 10/01";"48"
"07:30 10/01";"08:30 10/01";"47"
"08:30 10/01";"09:30 10/01";"47"
"09:30 10/01";"10:30 10/01";"46"
"10:30 10/01";"11:30 10/01";"46"
"11:30 10/01";"12:30 10/01";"46"
"12:30 10/01";"13:30 10/01";"47"
"13:30 10/01";"14:30 10/01";"45"
"14:30 10/01";"15:30 10/01";"42"
"15:30 10/01";"16:30 10/01";"41"
"16:30 10/01";"17:30 10/01";"42"
"17:30 10/01";"18:30 10/01";"42"
"18:30 10/01";"19:30 10/01";"45"
"19:30 10/01";"20:30 10/01";"47"
"20:30 10/01";"21:30 10/01";"46"
"21:30 10/01";"22:30 10/01";"49"
"22:30 10/01";"23:30 10/01";"46"
"23:30 10/01";"00:30 11/01";"45"
"00:30 11/01";"01:30 11/01";"44"
"01:30 11/01";"02:30 11/01";"46"
"02:30 11/01";"03:30 11/01";"44"
"03:30 11/01";"04:30 11/01";"45"
"04:30 11/01";"05:30 11/01";"46"
"05:30 11/01";"06:30 11/01";"43"
"06:30 11/01";"07:30 11/01";"41"
"07:30 11/01";"08:30 11/01";"43"
"08:30 11/01";"09:30 11/01";"45"
"09:30 11/01";"10:30 11/01";"46"
"10:30 11/01";"11:30 11/01";"42"
"11:30 11/01";"12:30 11/01";"43"
"12:30 11/01";"13:30 11/01";"49"
"13:30 11/01";"14:30 11/01";"50"
"14:30 11/01";"15:30 11/01";"52"
"15:30 11/01";"16:30 11/01";"53"
"16:30 11/01";"17:30 11/01";"56"
"17:30 11/01";"18:30 11/01";"55"
"18:30 11/01";"19:30 11/01";"61"
"19:30 11/01";"20:30 11/01";"68"
"20:30 11/01";"21:30 11/01";"66"
"21:30 11/01";"22:30 11/01";"56"
"22:30 11/01";"23:30 11/01";"47"
"23:30 11/01";"00:30 12/01";"46"
"00:30 12/01";"01:30 12/01";"42"
"01:30 12/01";"02:30 12/01";"39"
"02:30 12/01";"03:30 12/01";"37"
"03:30 12/01";"04:30 12/01";"36"
"04:30 12/01";"05:30 12/01";"32"
"05:30 12/01";"06:30 12/01";"25"
"06:30 12/01";"07:30 12/01";"20"
"07:30 12/01";"08:30 12/01";"19"
"08:30 12/01";"09:30 12/01";"19"
"09:30 12/01";"10:30 12/01";"19"
"10:30 12/01";"11:30 12/01";"20"
"11:30 12/01";"12:30 12/01";"22"
"12:30 12/01";"13:30 12/01";"24"
"13:30 12/01";"14:30 12/01";"27"
"14:30 12/01";"15:30 12/01";"28"
"15:30 12/01";"16:30 12/01";"31"
"16:30 12/01";"17:30 12/01";"27"
"17:30 12/01";"18:30 12/01";"24"
"18:30 12/01";"19:30 12/01";"29"
"19:30 12/01";"20:30 12/01";"32"
"20:30 12/01";"21:30 12/01";"32"
"21:30 12/01";"22:30 12/01";"35"
"22:30 12/01";"23:30 12/01";"36"
"23:30 12/01";"00:30 13/01";"40"
"00:30 13/01";"01:30 13/01";"42"
"01:30 13/01";"02:30 13/01";"37"
"02:30 13/01";"03:30 13/01";"38"
"03:30 13/01";"04:30 13/01";"36"
"04:30 13/01";"05:30 13/01";"34"
"05:30 13/01";"06:30 13/01";"28"
"06:30 13/01";"07:30 13/01";"22"
"07:30 13/01";"08:30 13/01";"21"
"08:30 13/01";"09:30 13/01";"20"
"09:30 13/01";"10:30 13/01";"22"
"10:30 13/01";"11:30 13/01";"23"
"11:30 13/01";"12:30 13/01";"25"
"12:30 13/01";"13:30 13/01";"28"
"13:30 13/01";"14:30 13/01";"30"
"14:30 13/01";"15:30 13/01";"28"
"15:30 13/01";"16:30 13/01";"27"
"16:30 13/01";"17:30 13/01";"27"
"17:30 13/01";"18:30 13/01";"26"
"18:30 13/01";"19:30 13/01";"26"
"19:30 13/01";"20:30 13/01";"30"
"20:30 13/01";"21:30 13/01";"34"
"21:30 13/01";"22:30 13/01";"36"
"22:30 13/01";"23:30 13/01";"30"
"23:30 13/01";"00:30 14/01";"30"
"00:30 14/01";"01:30 14/01";"27"
"01:30 14/01";"02:30 14/01";"27"
"02:30 14/01";"03:30 14/01";"26"
"03:30 14/01";"04:30 14/01";"24"
"04:30 14/01";"05:30 14/01";"22"
"05:30 14/01";"06:30 14/01";"18"
"06:30 14/01";"07:30 14/01";"15"
"07:30 14/01";"08:30 14/01";"10"
"08:30 14/01";"09:30 14/01";"6"
"09:30 14/01";"10:30 14/01";"5"
"10:30 14/01";"11:30 14/01";"5"
"11:30 14/01";"12:30 14/01";"4"
"12:30 14/01";"13:30 14/01";"3"
"13:30 14/01";"14:30 14/01";"2"
"14:30 14/01";"15:30 14/01";"3"
"15:30 14/01";"16:30 14/01";"3"
"16:30 14/01";"17:30 14/01";"2"
"17:30 14/01";"18:30 14/01";"1"
"18:30 14/01";"19:30 14/01";"3"
"19:30 14/01";"20:30 14/01";"3"
"20:30 14/01";"21:30 14/01";"5"
"21:30 14/01";"22:30 14/01";"8"
"22:30 14/01";"23:30 14/01";"9"
"23:30 14/01";"00:30 15/01";"13"
"00:30 15/01";"01:30 15/01";"14"
