PM2.5
"00:30 06/03;""01:30 06/03"";""77"""
"01:30 06/03;""02:30 06/03"";""50"""
"02:30 06/03;""03:30 06/03"";""30"""
"03:30 06/03;""04:30 06/03"";""35"""
"04:30 06/03;""05:30 06/03"";""31"""
"05:30 06/03;""06:30 06/03"";""21"""
"06:30 06/03;""07:30 06/03"";""27"""
"07:30 06/03;""08:30 06/03"";""25"""
"08:30 06/03;""09:30 06/03"";""26"""
"09:30 06/03;""10:30 06/03"";""35"""
"10:30 06/03;""11:30 06/03"";""34"""
"11:30 06/03;""12:30 06/03"";""26"""
"12:30 06/03;""13:30 06/03"";""20"""
"13:30 06/03;""14:30 06/03"";""14"""
"14:30 06/03;""15:30 06/03"";""9"""
"15:30 06/03;""16:30 06/03"";""7"""
"16:30 06/03;""17:30 06/03"";""6"""
"17:30 06/03;""18:30 06/03"";""9"""
"18:30 06/03;""19:30 06/03"";""11"""
"19:30 06/03;""20:30 06/03"";""11"""
"20:30 06/03;""21:30 06/03"";""15"""
"21:30 06/03;""22:30 06/03"";""17"""
"22:30 06/03;""23:30 06/03"";""23"""
"23:30 06/03;""00:30 07/03"";""23"""
"00:30 07/03;""01:30 07/03"";""25"""
"01:30 07/03;""02:30 07/03"";""26"""
"02:30 07/03;""03:30 07/03"";""26"""
"03:30 07/03;""04:30 07/03"";""21"""
"04:30 07/03;""05:30 07/03"";""16"""
"05:30 07/03;""06:30 07/03"";""15"""
"06:30 07/03;""07:30 07/03"";""13"""
"07:30 07/03;""08:30 07/03"";""16"""
"08:30 07/03;""09:30 07/03"";""15"""
"09:30 07/03;""10:30 07/03"";""13"""
"10:30 07/03;""11:30 07/03"";""14"""
"11:30 07/03;""12:30 07/03"";""12"""
"12:30 07/03;""13:30 07/03"";""11"""
"13:30 07/03;""14:30 07/03"";""12"""
"14:30 07/03;""15:30 07/03"";""12"""
"15:30 07/03;""16:30 07/03"";""11"""
"16:30 07/03;""17:30 07/03"";""10"""
"17:30 07/03;""18:30 07/03"";""13"""
"18:30 07/03;""19:30 07/03"";""13"""
"19:30 07/03;""20:30 07/03"";""13"""
"20:30 07/03;""21:30 07/03"";""15"""
"21:30 07/03;""22:30 07/03"";""16"""
"22:30 07/03;""23:30 07/03"";""19"""
"23:30 07/03;""00:30 08/03"";""20"""
"00:30 08/03;""01:30 08/03"";""20"""
"01:30 08/03;""02:30 08/03"";""19"""
"02:30 08/03;""03:30 08/03"";""6"""
"03:30 08/03;""04:30 08/03"";""16"""
"04:30 08/03;""05:30 08/03"";""13"""
"05:30 08/03;""06:30 08/03"";""18"""
"06:30 08/03;""07:30 08/03"";""14"""
"07:30 08/03;""08:30 08/03"";""15"""
"08:30 08/03;""09:30 08/03"";""26"""
"09:30 08/03;""10:30 08/03"";""20"""
"10:30 08/03;""11:30 08/03"";""32"""
"11:30 08/03;""12:30 08/03"";""19"""
"12:30 08/03;""13:30 08/03"";""11"""
"13:30 08/03;""14:30 08/03"";""6"""
"14:30 08/03;""15:30 08/03"";""7"""
"15:30 08/03;""16:30 08/03"";""5"""
"16:30 08/03;""17:30 08/03"";""7"""
"17:30 08/03;""18:30 08/03"";""7"""
"18:30 08/03;""19:30 08/03"";""7"""
"19:30 08/03;""20:30 08/03"";""7"""
"20:30 08/03;""21:30 08/03"";""10"""
"21:30 08/03;""22:30 08/03"";""18"""
"22:30 08/03;""23:30 08/03"";""31"""
"23:30 08/03;""00:30 09/03"";""40"""
"00:30 09/03;""01:30 09/03"";""44"""
"01:30 09/03;""02:30 09/03"";""39"""
"02:30 09/03;""03:30 09/03"";""31"""
"03:30 09/03;""04:30 09/03"";""32"""
"04:30 09/03;""05:30 09/03"";""38"""
"05:30 09/03;""06:30 09/03"";""46"""
"06:30 09/03;""07:30 09/03"";""37"""
"07:30 09/03;""08:30 09/03"";""39"""
"08:30 09/03;""09:30 09/03"";""38"""
"09:30 09/03;""10:30 09/03"";""40"""
"10:30 09/03;""11:30 09/03"";""38"""
"11:30 09/03;""12:30 09/03"";""44"""
"12:30 09/03;""13:30 09/03"";""18"""
"13:30 09/03;""14:30 09/03"";""7"""
"14:30 09/03;""15:30 09/03"";""6"""
"15:30 09/03;""16:30 09/03"";""2"""
"16:30 09/03;""17:30 09/03"";""4"""
"17:30 09/03;""18:30 09/03"";""4"""
"18:30 09/03;""19:30 09/03"";""4"""
"19:30 09/03;""20:30 09/03"";""6"""
"20:30 09/03;""21:30 09/03"";""10"""
"21:30 09/03;""22:30 09/03"";""38"""
"22:30 09/03;""23:30 09/03"";""68"""
"23:30 09/03;""00:30 10/03"";""143"""
"00:30 10/03;""01:30 10/03"";""96"""
"01:30 10/03;""02:30 10/03"";""119"""
"02:30 10/03;""03:30 10/03"";""172"""
"03:30 10/03;""04:30 10/03"";""154"""
"04:30 10/03;""05:30 10/03"";""85"""
"05:30 10/03;""06:30 10/03"";""87"""
"06:30 10/03;""07:30 10/03"";""94"""
"07:30 10/03;""08:30 10/03"";""82"""
"08:30 10/03;""09:30 10/03"";""84"""
"09:30 10/03;""10:30 10/03"";""68"""
"10:30 10/03;""11:30 10/03"";""68"""
"11:30 10/03;""12:30 10/03"";""61"""
"12:30 10/03;""13:30 10/03"";""48"""
"13:30 10/03;""14:30 10/03"";""38"""
"14:30 10/03;""15:30 10/03"";""23"""
"15:30 10/03;""16:30 10/03"";""17"""
"16:30 10/03;""17:30 10/03"";""19"""
"17:30 10/03;""18:30 10/03"";""18"""
"18:30 10/03;""19:30 10/03"";""18"""
"19:30 10/03;""20:30 10/03"";""21"""
"20:30 10/03;""21:30 10/03"";""24"""
"21:30 10/03;""22:30 10/03"";""34"""
"22:30 10/03;""23:30 10/03"";""42"""
"23:30 10/03;""00:30 11/03"";""45"""
"00:30 11/03;""01:30 11/03"";""42"""
"01:30 11/03;""02:30 11/03"";""39"""
"02:30 11/03;""03:30 11/03"";""40"""
"03:30 11/03;""04:30 11/03"";""39"""
"04:30 11/03;""05:30 11/03"";""38"""
"05:30 11/03;""06:30 11/03"";""38"""
"06:30 11/03;""07:30 11/03"";""38"""
"07:30 11/03;""08:30 11/03"";""41"""
"08:30 11/03;""09:30 11/03"";""42"""
"09:30 11/03;""10:30 11/03"";""43"""
"10:30 11/03;""11:30 11/03"";""55"""
"11:30 11/03;""12:30 11/03"";""47"""
"12:30 11/03;""13:30 11/03"";""39"""
"13:30 11/03;""14:30 11/03"";""37"""
"14:30 11/03;""15:30 11/03"";""28"""
"15:30 11/03;""16:30 11/03"";""28"""
"16:30 11/03;""17:30 11/03"";""28"""
"17:30 11/03;""18:30 11/03"";""28"""
"18:30 11/03;""19:30 11/03"";""31"""
"19:30 11/03;""20:30 11/03"";""30"""
"20:30 11/03;""21:30 11/03"";""32"""
"21:30 11/03;""22:30 11/03"";""36"""
"22:30 11/03;""23:30 11/03"";""37"""
"23:30 11/03;""00:30 12/03"";""36"""
"00:30 12/03;""01:30 12/03"";""33"""
"01:30 12/03;""02:30 12/03"";""34"""
"02:30 12/03;""03:30 12/03"";""35"""
"03:30 12/03;""04:30 12/03"";""36"""
"04:30 12/03;""05:30 12/03"";""37"""
"05:30 12/03;""06:30 12/03"";""37"""
"06:30 12/03;""07:30 12/03"";""36"""
"07:30 12/03;""08:30 12/03"";""33"""
"08:30 12/03;""09:30 12/03"";""31"""
"09:30 12/03;""10:30 12/03"";""32"""
"10:30 12/03;""11:30 12/03"";""30"""
"11:30 12/03;""12:30 12/03"";""27"""
"12:30 12/03;""13:30 12/03"";""21"""
"13:30 12/03;""14:30 12/03"";""16"""
"14:30 12/03;""15:30 12/03"";""12"""
"15:30 12/03;""16:30 12/03"";""10"""
"16:30 12/03;""17:30 12/03"";""10"""
"17:30 12/03;""18:30 12/03"";""11"""
"18:30 12/03;""19:30 12/03"";""10"""
"19:30 12/03;""20:30 12/03"";""7"""
"20:30 12/03;""21:30 12/03"";""9"""
"21:30 12/03;""22:30 12/03"";""10"""
"22:30 12/03;""23:30 12/03"";""12"""
"23:30 12/03;""00:30 13/03"";""15"""
"00:30 13/03;""01:30 13/03"";""14"""
"01:30 13/03;""02:30 13/03"";""25"""
"02:30 13/03;""03:30 13/03"";""29"""
"03:30 13/03;""04:30 13/03"";""27"""
"04:30 13/03;""05:30 13/03"";""27"""
"05:30 13/03;""06:30 13/03"";""28"""
"06:30 13/03;""07:30 13/03"";""25"""
"07:30 13/03;""08:30 13/03"";""21"""
"08:30 13/03;""09:30 13/03"";""19"""
"09:30 13/03;""10:30 13/03"";""18"""
"10:30 13/03;""11:30 13/03"";""22"""
"11:30 13/03;""12:30 13/03"";""21"""
"12:30 13/03;""13:30 13/03"";""17"""
"13:30 13/03;""14:30 13/03"";""18"""
"14:30 13/03;""15:30 13/03"";""16"""
"15:30 13/03;""16:30 13/03"";""13"""
"16:30 13/03;""17:30 13/03"";""11"""
"17:30 13/03;""18:30 13/03"";""9"""
"18:30 13/03;""19:30 13/03"";""6"""
"19:30 13/03;""20:30 13/03"";""5"""
"20:30 13/03;""21:30 13/03"";""7"""
"21:30 13/03;""22:30 13/03"";""7"""
"22:30 13/03;""23:30 13/03"";""10"""
"23:30 13/03;""00:30 14/03"";""11"""
"00:30 14/03;""01:30 14/03"";""9"""
"01:30 14/03;""02:30 14/03"";""9"""
"02:30 14/03;""03:30 14/03"";""7"""
"03:30 14/03;""04:30 14/03"";""6"""
"04:30 14/03;""05:30 14/03"";""4"""
"05:30 14/03;""06:30 14/03"";""6"""
"06:30 14/03;""07:30 14/03"";""5"""
"07:30 14/03;""08:30 14/03"";""3"""
"08:30 14/03;""09:30 14/03"";""4"""
"09:30 14/03;""10:30 14/03"";""4"""
"10:30 14/03;""11:30 14/03"";""4"""
"11:30 14/03;""12:30 14/03"";""5"""
"12:30 14/03;""13:30 14/03"";""5"""
"13:30 14/03;""14:30 14/03"";""5"""
"14:30 14/03;""15:30 14/03"";""4"""
"15:30 14/03;""16:30 14/03"";""6"""
"16:30 14/03;""17:30 14/03"";""7"""
"17:30 14/03;""18:30 14/03"";""9"""
"18:30 14/03;""19:30 14/03"";""8"""
"19:30 14/03;""20:30 14/03"";""7"""
"20:30 14/03;""21:30 14/03"";""7"""
"21:30 14/03;""22:30 14/03"";""8"""
"22:30 14/03;""23:30 14/03"";""14"""
"23:30 14/03;""00:30 15/03"";""18"""
"00:30 15/03;""01:30 15/03"";""20"""
"01:30 15/03;""02:30 15/03"";""17"""
"02:30 15/03;""03:30 15/03"";""15"""
"03:30 15/03;""04:30 15/03"";""15"""
"04:30 15/03;""05:30 15/03"";""17"""
"05:30 15/03;""06:30 15/03"";""18"""
"06:30 15/03;""07:30 15/03"";""14"""
"07:30 15/03;""08:30 15/03"";""16"""
"08:30 15/03;""09:30 15/03"";""23"""
"09:30 15/03;""10:30 15/03"";""22"""
"10:30 15/03;""11:30 15/03"";""24"""
"11:30 15/03;""12:30 15/03"";""24"""
"12:30 15/03;""13:30 15/03"";""27"""
"13:30 15/03;""14:30 15/03"";""26"""
"14:30 15/03;""15:30 15/03"";""25"""
"15:30 15/03;""16:30 15/03"";""21"""
"16:30 15/03;""17:30 15/03"";""17"""
"17:30 15/03;""18:30 15/03"";""16"""
"18:30 15/03;""19:30 15/03"";""17"""
"19:30 15/03;""20:30 15/03"";""17"""
"20:30 15/03;""21:30 15/03"";""16"""
"21:30 15/03;""22:30 15/03"";""23"""
"22:30 15/03;""23:30 15/03"";""46"""
"23:30 15/03;""00:30 16/03"";""29"""
"00:30 16/03;""01:30 16/03"";""44"""
"01:30 16/03;""02:30 16/03"";""80"""
"02:30 16/03;""03:30 16/03"";""134"""
"03:30 16/03;""04:30 16/03"";""138"""
"04:30 16/03;""05:30 16/03"";""148"""
"05:30 16/03;""06:30 16/03"";""128"""
"06:30 16/03;""07:30 16/03"";""84"""
"07:30 16/03;""08:30 16/03"";""69"""
"08:30 16/03;""09:30 16/03"";""65"""
"09:30 16/03;""10:30 16/03"";""63"""
"10:30 16/03;""11:30 16/03"";""67"""
"11:30 16/03;""12:30 16/03"";""68"""
"12:30 16/03;""13:30 16/03"";""59"""
"13:30 16/03;""14:30 16/03"";""38"""
"14:30 16/03;""15:30 16/03"";""31"""
"15:30 16/03;""16:30 16/03"";""28"""
"16:30 16/03;""17:30 16/03"";""21"""
"17:30 16/03;""18:30 16/03"";""19"""
"18:30 16/03;""19:30 16/03"";""11"""
"19:30 16/03;""20:30 16/03"";""15"""
"20:30 16/03;""21:30 16/03"";""18"""
"21:30 16/03;""22:30 16/03"";""30"""
"22:30 16/03;""23:30 16/03"";""46"""
"23:30 16/03;""00:30 17/03"";""100"""
"00:30 17/03;""01:30 17/03"";""119"""
"01:30 17/03;""02:30 17/03"";""77"""
"02:30 17/03;""03:30 17/03"";""43"""
"03:30 17/03;""04:30 17/03"";""31"""
"04:30 17/03;""05:30 17/03"";""24"""
"05:30 17/03;""06:30 17/03"";""22"""
"06:30 17/03;""07:30 17/03"";""21"""
"07:30 17/03;""08:30 17/03"";""26"""
"08:30 17/03;""09:30 17/03"";""18"""
"09:30 17/03;""10:30 17/03"";""11"""
"10:30 17/03;""11:30 17/03"";""11"""
"11:30 17/03;""12:30 17/03"";""14"""
"12:30 17/03;""13:30 17/03"";""12"""
"13:30 17/03;""14:30 17/03"";""10"""
"14:30 17/03;""15:30 17/03"";""9"""
"15:30 17/03;""16:30 17/03"";""11"""
"16:30 17/03;""17:30 17/03"";""9"""
"17:30 17/03;""18:30 17/03"";""9"""
"18:30 17/03;""19:30 17/03"";""9"""
"19:30 17/03;""20:30 17/03"";""9"""
"20:30 17/03;""21:30 17/03"";""14"""
"21:30 17/03;""22:30 17/03"";""19"""
"22:30 17/03;""23:30 17/03"";""31"""
"23:30 17/03;""00:30 18/03"";""44"""
"00:30 18/03;""01:30 18/03"";""62"""
"01:30 18/03;""02:30 18/03"";""20"""
"02:30 18/03;""03:30 18/03"";""12"""
"03:30 18/03;""04:30 18/03"";""10"""
"04:30 18/03;""05:30 18/03"";""12"""
"05:30 18/03;""06:30 18/03"";""13"""
"06:30 18/03;""07:30 18/03"";""30"""
"07:30 18/03;""08:30 18/03"";""20"""
"08:30 18/03;""09:30 18/03"";""20"""
"09:30 18/03;""10:30 18/03"";""19"""
"10:30 18/03;""11:30 18/03"";""19"""
"11:30 18/03;""12:30 18/03"";""15"""
"12:30 18/03;""13:30 18/03"";""10"""
"13:30 18/03;""14:30 18/03"";""8"""
"14:30 18/03;""15:30 18/03"";""7"""
