PM2.5
"17:30 06/01;""18:30 06/01"";""22"""
"18:30 06/01;""19:30 06/01"";""18"""
"19:30 06/01;""20:30 06/01"";""39"""
"20:30 06/01;""21:30 06/01"";""44"""
"21:30 06/01;""22:30 06/01"";""58"""
"22:30 06/01;""23:30 06/01"";""60"""
"23:30 06/01;""00:30 07/01"";""57"""
"00:30 07/01;""01:30 07/01"";""46"""
"01:30 07/01;""02:30 07/01"";""48"""
"02:30 07/01;""03:30 07/01"";""43"""
"03:30 07/01;""04:30 07/01"";""42"""
"04:30 07/01;""05:30 07/01"";""43"""
"05:30 07/01;""06:30 07/01"";""39"""
"06:30 07/01;""07:30 07/01"";""33"""
"07:30 07/01;""08:30 07/01"";""26"""
"08:30 07/01;""09:30 07/01"";""29"""
"09:30 07/01;""10:30 07/01"";""32"""
"10:30 07/01;""11:30 07/01"";""31"""
"11:30 07/01;""12:30 07/01"";""27"""
"12:30 07/01;""13:30 07/01"";""26"""
"13:30 07/01;""14:30 07/01"";""26"""
"14:30 07/01;""15:30 07/01"";""28"""
"15:30 07/01;""16:30 07/01"";""26"""
"16:30 07/01;""17:30 07/01"";""25"""
"17:30 07/01;""18:30 07/01"";""27"""
"18:30 07/01;""19:30 07/01"";""26"""
"19:30 07/01;""20:30 07/01"";""32"""
"20:30 07/01;""21:30 07/01"";""29"""
"21:30 07/01;""22:30 07/01"";""31"""
"22:30 07/01;""23:30 07/01"";""34"""
"23:30 07/01;""00:30 08/01"";""35"""
"00:30 08/01;""01:30 08/01"";""35"""
"01:30 08/01;""02:30 08/01"";""36"""
"02:30 08/01;""03:30 08/01"";""35"""
"03:30 08/01;""04:30 08/01"";""36"""
"04:30 08/01;""05:30 08/01"";""34"""
"05:30 08/01;""06:30 08/01"";""36"""
"06:30 08/01;""07:30 08/01"";""36"""
"07:30 08/01;""08:30 08/01"";""35"""
"08:30 08/01;""09:30 08/01"";""35"""
"09:30 08/01;""10:30 08/01"";""36"""
"10:30 08/01;""11:30 08/01"";""33"""
"11:30 08/01;""12:30 08/01"";""30"""
"12:30 08/01;""13:30 08/01"";""30"""
"13:30 08/01;""14:30 08/01"";""33"""
"14:30 08/01;""15:30 08/01"";""35"""
"15:30 08/01;""16:30 08/01"";""35"""
"16:30 08/01;""17:30 08/01"";""36"""
"17:30 08/01;""18:30 08/01"";""35"""
"18:30 08/01;""19:30 08/01"";""36"""
"19:30 08/01;""20:30 08/01"";""39"""
"20:30 08/01;""21:30 08/01"";""46"""
"21:30 08/01;""22:30 08/01"";""51"""
"22:30 08/01;""23:30 08/01"";""54"""
"23:30 08/01;""00:30 09/01"";""54"""
"00:30 09/01;""01:30 09/01"";""57"""
"01:30 09/01;""02:30 09/01"";""72"""
"02:30 09/01;""03:30 09/01"";""84"""
"03:30 09/01;""04:30 09/01"";""72"""
"04:30 09/01;""05:30 09/01"";""66"""
"05:30 09/01;""06:30 09/01"";""59"""
"06:30 09/01;""07:30 09/01"";""58"""
"07:30 09/01;""08:30 09/01"";""59"""
"08:30 09/01;""09:30 09/01"";""61"""
"09:30 09/01;""10:30 09/01"";""60"""
"10:30 09/01;""11:30 09/01"";""58"""
"11:30 09/01;""12:30 09/01"";""61"""
"12:30 09/01;""13:30 09/01"";""62"""
"13:30 09/01;""14:30 09/01"";""61"""
"14:30 09/01;""15:30 09/01"";""57"""
"15:30 09/01;""16:30 09/01"";""53"""
"16:30 09/01;""17:30 09/01"";""46"""
"17:30 09/01;""18:30 09/01"";""45"""
"18:30 09/01;""19:30 09/01"";""40"""
"19:30 09/01;""20:30 09/01"";""38"""
"20:30 09/01;""21:30 09/01"";""38"""
"21:30 09/01;""22:30 09/01"";""38"""
"22:30 09/01;""23:30 09/01"";""37"""
"23:30 09/01;""00:30 10/01"";""36"""
"00:30 10/01;""01:30 10/01"";""37"""
"01:30 10/01;""02:30 10/01"";""35"""
"02:30 10/01;""03:30 10/01"";""38"""
"03:30 10/01;""04:30 10/01"";""40"""
"04:30 10/01;""05:30 10/01"";""40"""
"05:30 10/01;""06:30 10/01"";""40"""
"06:30 10/01;""07:30 10/01"";""37"""
"07:30 10/01;""08:30 10/01"";""35"""
"08:30 10/01;""09:30 10/01"";""31"""
"09:30 10/01;""10:30 10/01"";""33"""
"10:30 10/01;""11:30 10/01"";""26"""
"11:30 10/01;""12:30 10/01"";""29"""
"12:30 10/01;""13:30 10/01"";""32"""
"13:30 10/01;""14:30 10/01"";""32"""
"14:30 10/01;""15:30 10/01"";""37"""
"15:30 10/01;""16:30 10/01"";""40"""
"16:30 10/01;""17:30 10/01"";""41"""
"17:30 10/01;""18:30 10/01"";""36"""
"18:30 10/01;""19:30 10/01"";""33"""
"19:30 10/01;""20:30 10/01"";""38"""
"20:30 10/01;""21:30 10/01"";""42"""
"21:30 10/01;""22:30 10/01"";""39"""
"22:30 10/01;""23:30 10/01"";""36"""
"23:30 10/01;""00:30 11/01"";""37"""
"00:30 11/01;""01:30 11/01"";""40"""
"01:30 11/01;""02:30 11/01"";""40"""
"02:30 11/01;""03:30 11/01"";""43"""
"03:30 11/01;""04:30 11/01"";""41"""
"04:30 11/01;""05:30 11/01"";""46"""
"05:30 11/01;""06:30 11/01"";""44"""
"06:30 11/01;""07:30 11/01"";""41"""
"07:30 11/01;""08:30 11/01"";""35"""
"08:30 11/01;""09:30 11/01"";""34"""
"09:30 11/01;""10:30 11/01"";""37"""
"10:30 11/01;""11:30 11/01"";""40"""
"11:30 11/01;""12:30 11/01"";""42"""
"12:30 11/01;""13:30 11/01"";""45"""
"13:30 11/01;""14:30 11/01"";""44"""
"14:30 11/01;""15:30 11/01"";""41"""
"15:30 11/01;""16:30 11/01"";""33"""
"16:30 11/01;""17:30 11/01"";""28"""
"17:30 11/01;""18:30 11/01"";""30"""
"18:30 11/01;""19:30 11/01"";""31"""
"19:30 11/01;""20:30 11/01"";""32"""
"20:30 11/01;""21:30 11/01"";""39"""
"21:30 11/01;""22:30 11/01"";""40"""
"22:30 11/01;""23:30 11/01"";""42"""
"23:30 11/01;""00:30 12/01"";""44"""
"00:30 12/01;""01:30 12/01"";""43"""
"01:30 12/01;""02:30 12/01"";""42"""
"02:30 12/01;""03:30 12/01"";""42"""
"03:30 12/01;""04:30 12/01"";""45"""
"04:30 12/01;""05:30 12/01"";""56"""
"05:30 12/01;""06:30 12/01"";""61"""
"06:30 12/01;""07:30 12/01"";""51"""
"07:30 12/01;""08:30 12/01"";""49"""
"08:30 12/01;""09:30 12/01"";""47"""
"09:30 12/01;""10:30 12/01"";""46"""
"10:30 12/01;""11:30 12/01"";""48"""
"11:30 12/01;""12:30 12/01"";""48"""
"12:30 12/01;""13:30 12/01"";""48"""
"13:30 12/01;""14:30 12/01"";""45"""
"14:30 12/01;""15:30 12/01"";""37"""
"15:30 12/01;""16:30 12/01"";""32"""
"16:30 12/01;""17:30 12/01"";""30"""
"17:30 12/01;""18:30 12/01"";""29"""
"18:30 12/01;""19:30 12/01"";""31"""
"19:30 12/01;""20:30 12/01"";""32"""
"20:30 12/01;""21:30 12/01"";""37"""
"21:30 12/01;""22:30 12/01"";""38"""
"22:30 12/01;""23:30 12/01"";""38"""
"23:30 12/01;""00:30 13/01"";""39"""
"00:30 13/01;""01:30 13/01"";""39"""
"01:30 13/01;""02:30 13/01"";""40"""
"02:30 13/01;""03:30 13/01"";""40"""
"03:30 13/01;""04:30 13/01"";""40"""
"04:30 13/01;""05:30 13/01"";""39"""
"05:30 13/01;""06:30 13/01"";""38"""
"06:30 13/01;""07:30 13/01"";""38"""
"07:30 13/01;""08:30 13/01"";""34"""
"08:30 13/01;""09:30 13/01"";""21"""
"09:30 13/01;""10:30 13/01"";""13"""
"10:30 13/01;""11:30 13/01"";""13"""
"11:30 13/01;""12:30 13/01"";""14"""
"12:30 13/01;""13:30 13/01"";""22"""
"13:30 13/01;""14:30 13/01"";""26"""
"14:30 13/01;""15:30 13/01"";""34"""
"15:30 13/01;""16:30 13/01"";""19"""
"16:30 13/01;""17:30 13/01"";""22"""
"17:30 13/01;""18:30 13/01"";""26"""
"18:30 13/01;""19:30 13/01"";""30"""
"19:30 13/01;""20:30 13/01"";""32"""
"20:30 13/01;""21:30 13/01"";""34"""
"21:30 13/01;""22:30 13/01"";""42"""
"22:30 13/01;""23:30 13/01"";""37"""
"23:30 13/01;""00:30 14/01"";""39"""
"00:30 14/01;""01:30 14/01"";""43"""
"01:30 14/01;""02:30 14/01"";""39"""
"02:30 14/01;""03:30 14/01"";""42"""
"03:30 14/01;""04:30 14/01"";""45"""
"04:30 14/01;""05:30 14/01"";""46"""
"05:30 14/01;""06:30 14/01"";""51"""
"06:30 14/01;""07:30 14/01"";""76"""
"07:30 14/01;""08:30 14/01"";""70"""
"08:30 14/01;""09:30 14/01"";""55"""
"09:30 14/01;""10:30 14/01"";""54"""
"10:30 14/01;""11:30 14/01"";""44"""
"11:30 14/01;""12:30 14/01"";""42"""
"12:30 14/01;""13:30 14/01"";""41"""
"13:30 14/01;""14:30 14/01"";""39"""
"14:30 14/01;""15:30 14/01"";""35"""
"15:30 14/01;""16:30 14/01"";""31"""
"16:30 14/01;""17:30 14/01"";""31"""
"17:30 14/01;""18:30 14/01"";""29"""
"18:30 14/01;""19:30 14/01"";""28"""
"19:30 14/01;""20:30 14/01"";""28"""
"20:30 14/01;""21:30 14/01"";""25"""
"21:30 14/01;""22:30 14/01"";""22"""
"22:30 14/01;""23:30 14/01"";""21"""
"23:30 14/01;""00:30 15/01"";""20"""
"00:30 15/01;""01:30 15/01"";""23"""
"01:30 15/01;""02:30 15/01"";""30"""
"02:30 15/01;""03:30 15/01"";""25"""
"03:30 15/01;""04:30 15/01"";""17"""
"04:30 15/01;""05:30 15/01"";""17"""
"05:30 15/01;""06:30 15/01"";""17"""
"06:30 15/01;""07:30 15/01"";""17"""
"07:30 15/01;""08:30 15/01"";""18"""
"08:30 15/01;""09:30 15/01"";""20"""
"09:30 15/01;""10:30 15/01"";""22"""
"10:30 15/01;""11:30 15/01"";""26"""
"11:30 15/01;""12:30 15/01"";""33"""
"12:30 15/01;""13:30 15/01"";""39"""
"13:30 15/01;""14:30 15/01"";""37"""
"14:30 15/01;""15:30 15/01"";""35"""
"15:30 15/01;""16:30 15/01"";""38"""
"16:30 15/01;""17:30 15/01"";""34"""
"17:30 15/01;""18:30 15/01"";""40"""
"18:30 15/01;""19:30 15/01"";""39"""
"19:30 15/01;""20:30 15/01"";""30"""
"20:30 15/01;""21:30 15/01"";""25"""
"21:30 15/01;""22:30 15/01"";""29"""
"22:30 15/01;""23:30 15/01"";""34"""
"23:30 15/01;""00:30 16/01"";""40"""
"00:30 16/01;""01:30 16/01"";""61"""
"01:30 16/01;""02:30 16/01"";""117"""
"02:30 16/01;""03:30 16/01"";""87"""
"03:30 16/01;""04:30 16/01"";""63"""
"04:30 16/01;""05:30 16/01"";""85"""
