From;To;ID 6437 - PM2.5
"04:30 01/12";"05:30 01/12";"14"
"05:30 01/12";"06:30 01/12";"11"
"06:30 01/12";"07:30 01/12";"11"
"07:30 01/12";"08:30 01/12";"13"
"08:30 01/12";"09:30 01/12";"12"
"09:30 01/12";"10:30 01/12";"13"
"10:30 01/12";"11:30 01/12";"15"
"11:30 01/12";"12:30 01/12";"16"
"12:30 01/12";"13:30 01/12";"23"
"13:30 01/12";"14:30 01/12";"20"
"14:30 01/12";"15:30 01/12";"19"
"15:30 01/12";"16:30 01/12";"18"
"16:30 01/12";"17:30 01/12";"19"
"17:30 01/12";"18:30 01/12";"17"
"18:30 01/12";"19:30 01/12";"16"
"19:30 01/12";"20:30 01/12";"14"
"20:30 01/12";"21:30 01/12";"17"
"21:30 01/12";"22:30 01/12";"19"
"22:30 01/12";"23:30 01/12";"18"
"23:30 01/12";"00:30 02/12";"18"
"00:30 02/12";"01:30 02/12";"20"
"01:30 02/12";"02:30 02/12";"20"
"02:30 02/12";"03:30 02/12";"19"
"03:30 02/12";"04:30 02/12";"15"
"04:30 02/12";"05:30 02/12";"13"
"05:30 02/12";"06:30 02/12";"11"
"06:30 02/12";"07:30 02/12";"8"
"07:30 02/12";"08:30 02/12";"6"
"08:30 02/12";"09:30 02/12";"6"
"09:30 02/12";"10:30 02/12";"5"
"10:30 02/12";"11:30 02/12";"1"
"11:30 02/12";"12:30 02/12";"1"
"12:30 02/12";"13:30 02/12";"1"
"13:30 02/12";"14:30 02/12";"2"
"14:30 02/12";"15:30 02/12";"1"
"15:30 02/12";"16:30 02/12";"2"
"16:30 02/12";"17:30 02/12";"3"
"17:30 02/12";"18:30 02/12";"2"
"18:30 02/12";"19:30 02/12";"3"
"19:30 02/12";"20:30 02/12";"3"
"20:30 02/12";"21:30 02/12";"3"
"21:30 02/12";"22:30 02/12";"3"
"22:30 02/12";"23:30 02/12";"3"
"23:30 02/12";"00:30 03/12";"4"
"00:30 03/12";"01:30 03/12";"5"
"01:30 03/12";"02:30 03/12";"5"
"02:30 03/12";"03:30 03/12";"5"
"03:30 03/12";"04:30 03/12";"6"
"04:30 03/12";"05:30 03/12";"6"
"05:30 03/12";"06:30 03/12";"6"
"06:30 03/12";"07:30 03/12";"6"
"07:30 03/12";"08:30 03/12";"8"
"08:30 03/12";"09:30 03/12";"8"
"09:30 03/12";"10:30 03/12";"6"
"10:30 03/12";"11:30 03/12";"6"
"11:30 03/12";"12:30 03/12";"10"
"12:30 03/12";"13:30 03/12";"7"
"13:30 03/12";"14:30 03/12";"6"
"14:30 03/12";"15:30 03/12";"7"
"15:30 03/12";"16:30 03/12";"6"
"16:30 03/12";"17:30 03/12";"6"
"17:30 03/12";"18:30 03/12";"10"
"18:30 03/12";"19:30 03/12";"11"
"19:30 03/12";"20:30 03/12";"11"
"20:30 03/12";"21:30 03/12";"11"
"21:30 03/12";"22:30 03/12";"13"
"22:30 03/12";"23:30 03/12";"12"
"23:30 03/12";"00:30 04/12";"10"
"00:30 04/12";"01:30 04/12";"13"
"01:30 04/12";"02:30 04/12";"13"
"02:30 04/12";"03:30 04/12";"14"
"03:30 04/12";"04:30 04/12";"16"
"04:30 04/12";"05:30 04/12";"16"
"05:30 04/12";"06:30 04/12";"14"
"06:30 04/12";"07:30 04/12";"14"
"07:30 04/12";"08:30 04/12";"15"
"08:30 04/12";"09:30 04/12";"16"
"09:30 04/12";"10:30 04/12";"19"
"10:30 04/12";"11:30 04/12";"21"
"11:30 04/12";"12:30 04/12";"20"
"12:30 04/12";"13:30 04/12";"18"
"13:30 04/12";"14:30 04/12";"17"
"14:30 04/12";"15:30 04/12";"17"
"15:30 04/12";"16:30 04/12";"15"
"16:30 04/12";"17:30 04/12";"14"
"17:30 04/12";"18:30 04/12";"16"
"18:30 04/12";"19:30 04/12";"18"
"19:30 04/12";"20:30 04/12";"21"
"20:30 04/12";"21:30 04/12";"19"
"21:30 04/12";"22:30 04/12";"20"
"22:30 04/12";"23:30 04/12";"23"
"23:30 04/12";"00:30 05/12";"29"
"00:30 05/12";"01:30 05/12";"32"
"01:30 05/12";"02:30 05/12";"40"
"02:30 05/12";"03:30 05/12";"49"
"03:30 05/12";"04:30 05/12";"35"
"04:30 05/12";"05:30 05/12";"34"
"05:30 05/12";"06:30 05/12";"32"
"06:30 05/12";"07:30 05/12";"33"
"07:30 05/12";"08:30 05/12";"33"
"08:30 05/12";"09:30 05/12";"31"
"09:30 05/12";"10:30 05/12";"31"
"10:30 05/12";"11:30 05/12";"31"
"11:30 05/12";"12:30 05/12";"30"
"12:30 05/12";"13:30 05/12";"31"
"13:30 05/12";"14:30 05/12";"32"
"14:30 05/12";"15:30 05/12";"33"
"15:30 05/12";"16:30 05/12";"32"
"16:30 05/12";"17:30 05/12";"32"
"17:30 05/12";"18:30 05/12";"30"
"18:30 05/12";"19:30 05/12";"29"
"19:30 05/12";"20:30 05/12";"34"
"20:30 05/12";"21:30 05/12";"36"
"21:30 05/12";"22:30 05/12";"31"
"22:30 05/12";"23:30 05/12";"31"
"23:30 05/12";"00:30 06/12";"32"
"00:30 06/12";"01:30 06/12";"32"
"01:30 06/12";"02:30 06/12";"32"
"02:30 06/12";"03:30 06/12";"29"
"03:30 06/12";"04:30 06/12";"24"
"04:30 06/12";"05:30 06/12";"22"
"05:30 06/12";"06:30 06/12";"22"
"06:30 06/12";"07:30 06/12";"20"
"07:30 06/12";"08:30 06/12";"19"
"08:30 06/12";"09:30 06/12";"17"
"09:30 06/12";"10:30 06/12";"18"
"10:30 06/12";"11:30 06/12";"20"
"11:30 06/12";"12:30 06/12";"22"
"12:30 06/12";"13:30 06/12";"23"
"13:30 06/12";"14:30 06/12";"26"
"14:30 06/12";"15:30 06/12";"28"
"15:30 06/12";"16:30 06/12";"26"
"16:30 06/12";"17:30 06/12";"28"
"17:30 06/12";"18:30 06/12";"27"
"18:30 06/12";"19:30 06/12";"27"
"19:30 06/12";"20:30 06/12";"27"
"20:30 06/12";"21:30 06/12";"24"
"21:30 06/12";"22:30 06/12";"24"
