From;To;ID 6437 - PM2.5
"04:30 01/02";"05:30 01/02";"45"
"05:30 01/02";"06:30 01/02";"56"
"06:30 01/02";"07:30 01/02";"67"
"07:30 01/02";"08:30 01/02";"57"
"08:30 01/02";"09:30 01/02";"54"
"09:30 01/02";"10:30 01/02";"65"
"10:30 01/02";"11:30 01/02";"78"
"11:30 01/02";"12:30 01/02";"80"
"12:30 01/02";"13:30 01/02";"73"
"13:30 01/02";"14:30 01/02";"67"
"14:30 01/02";"15:30 01/02";"54"
"15:30 01/02";"16:30 01/02";"51"
"16:30 01/02";"17:30 01/02";"40"
"17:30 01/02";"18:30 01/02";"44"
"18:30 01/02";"19:30 01/02";"50"
"19:30 01/02";"20:30 01/02";"46"
"20:30 01/02";"21:30 01/02";"52"
"21:30 01/02";"22:30 01/02";"59"
"22:30 01/02";"23:30 01/02";"80"
"23:30 01/02";"00:30 02/02";"84"
"00:30 02/02";"01:30 02/02";"82"
"01:30 02/02";"02:30 02/02";"90"
"02:30 02/02";"03:30 02/02";"85"
"03:30 02/02";"04:30 02/02";"81"
"04:30 02/02";"05:30 02/02";"69"
"05:30 02/02";"06:30 02/02";"53"
"06:30 02/02";"07:30 02/02";"42"
"07:30 02/02";"08:30 02/02";"37"
"08:30 02/02";"09:30 02/02";"37"
"09:30 02/02";"10:30 02/02";"38"
"10:30 02/02";"11:30 02/02";"40"
"11:30 02/02";"12:30 02/02";"42"
"12:30 02/02";"13:30 02/02";"40"
"13:30 02/02";"14:30 02/02";"39"
"14:30 02/02";"15:30 02/02";"36"
"15:30 02/02";"16:30 02/02";"37"
"16:30 02/02";"17:30 02/02";"38"
"17:30 02/02";"18:30 02/02";"38"
"18:30 02/02";"19:30 02/02";"39"
"19:30 02/02";"20:30 02/02";"40"
"20:30 02/02";"21:30 02/02";"40"
"21:30 02/02";"22:30 02/02";"42"
"22:30 02/02";"23:30 02/02";"50"
"23:30 02/02";"00:30 03/02";"52"
"00:30 03/02";"01:30 03/02";"46"
"01:30 03/02";"02:30 03/02";"45"
"02:30 03/02";"03:30 03/02";"42"
"03:30 03/02";"04:30 03/02";"44"
"04:30 03/02";"05:30 03/02";"48"
"05:30 03/02";"06:30 03/02";"46"
"06:30 03/02";"07:30 03/02";"47"
"07:30 03/02";"08:30 03/02";"48"
"08:30 03/02";"09:30 03/02";"49"
"09:30 03/02";"10:30 03/02";"52"
"10:30 03/02";"11:30 03/02";"54"
"11:30 03/02";"12:30 03/02";"52"
"12:30 03/02";"13:30 03/02";"47"
"13:30 03/02";"14:30 03/02";"48"
"14:30 03/02";"15:30 03/02";"40"
"15:30 03/02";"16:30 03/02";"36"
"16:30 03/02";"17:30 03/02";"36"
"17:30 03/02";"18:30 03/02";"38"
"18:30 03/02";"19:30 03/02";"41"
"19:30 03/02";"20:30 03/02";"41"
"20:30 03/02";"21:30 03/02";"56"
"21:30 03/02";"22:30 03/02";"42"
"22:30 03/02";"23:30 03/02";"42"
"23:30 03/02";"00:30 04/02";"57"
"00:30 04/02";"01:30 04/02";"66"
"01:30 04/02";"02:30 04/02";"54"
"02:30 04/02";"03:30 04/02";"45"
"03:30 04/02";"04:30 04/02";"31"
"04:30 04/02";"05:30 04/02";"30"
"05:30 04/02";"06:30 04/02";"31"
"06:30 04/02";"07:30 04/02";"26"
"07:30 04/02";"08:30 04/02";"23"
"08:30 04/02";"09:30 04/02";"20"
"09:30 04/02";"10:30 04/02";"21"
"10:30 04/02";"11:30 04/02";"11"
"11:30 04/02";"12:30 04/02";"19"
"12:30 04/02";"13:30 04/02";"12"
"13:30 04/02";"14:30 04/02";"8"
"14:30 04/02";"15:30 04/02";"6"
"15:30 04/02";"16:30 04/02";"6"
"16:30 04/02";"17:30 04/02";"8"
"17:30 04/02";"18:30 04/02";"12"
"18:30 04/02";"19:30 04/02";"12"
"19:30 04/02";"20:30 04/02";"10"
"20:30 04/02";"21:30 04/02";"10"
"21:30 04/02";"22:30 04/02";"11"
"22:30 04/02";"23:30 04/02";"12"
"23:30 04/02";"00:30 05/02";"19"
"00:30 05/02";"01:30 05/02";"22"
"01:30 05/02";"02:30 05/02";"35"
"02:30 05/02";"03:30 05/02";"56"
"03:30 05/02";"04:30 05/02";"58"
"04:30 05/02";"05:30 05/02";"41"
"05:30 05/02";"06:30 05/02";"35"
"06:30 05/02";"07:30 05/02";"34"
"07:30 05/02";"08:30 05/02";"35"
"08:30 05/02";"09:30 05/02";"37"
"09:30 05/02";"10:30 05/02";"47"
"10:30 05/02";"11:30 05/02";"50"
"11:30 05/02";"12:30 05/02";"52"
"12:30 05/02";"13:30 05/02";"54"
"13:30 05/02";"14:30 05/02";"35"
"14:30 05/02";"15:30 05/02";"25"
"15:30 05/02";"16:30 05/02";"14"
"16:30 05/02";"17:30 05/02";"11"
"17:30 05/02";"18:30 05/02";"8"
"18:30 05/02";"19:30 05/02";"14"
"19:30 05/02";"20:30 05/02";"21"
"20:30 05/02";"21:30 05/02";"25"
"21:30 05/02";"22:30 05/02";"24"
"22:30 05/02";"23:30 05/02";"30"
"23:30 05/02";"00:30 06/02";"43"
"00:30 06/02";"01:30 06/02";"41"
"01:30 06/02";"02:30 06/02";"70"
"02:30 06/02";"03:30 06/02";"99"
"03:30 06/02";"04:30 06/02";"94"
"04:30 06/02";"05:30 06/02";"121"
"05:30 06/02";"06:30 06/02";"147"
"06:30 06/02";"07:30 06/02";"109"
"07:30 06/02";"08:30 06/02";"93"
"08:30 06/02";"09:30 06/02";"84"
"09:30 06/02";"10:30 06/02";"54"
"10:30 06/02";"11:30 06/02";"44"
"11:30 06/02";"12:30 06/02";"38"
"12:30 06/02";"13:30 06/02";"34"
"13:30 06/02";"14:30 06/02";"23"
"14:30 06/02";"15:30 06/02";"17"
"15:30 06/02";"16:30 06/02";"12"
"16:30 06/02";"17:30 06/02";"16"
"17:30 06/02";"18:30 06/02";"11"
"18:30 06/02";"19:30 06/02";"11"
"19:30 06/02";"20:30 06/02";"14"
"20:30 06/02";"21:30 06/02";"20"
"21:30 06/02";"22:30 06/02";"22"
"22:30 06/02";"23:30 06/02";"27"
"23:30 06/02";"00:30 07/02";"31"
"00:30 07/02";"01:30 07/02";"44"
"01:30 07/02";"02:30 07/02";"45"
"02:30 07/02";"03:30 07/02";"50"
"03:30 07/02";"04:30 07/02";"50"
"04:30 07/02";"05:30 07/02";"42"
"05:30 07/02";"06:30 07/02";"38"
"06:30 07/02";"07:30 07/02";"37"
"07:30 07/02";"08:30 07/02";"35"
"08:30 07/02";"09:30 07/02";"36"
"09:30 07/02";"10:30 07/02";"34"
"10:30 07/02";"11:30 07/02";"34"
"11:30 07/02";"12:30 07/02";"33"
"12:30 07/02";"13:30 07/02";"27"
"13:30 07/02";"14:30 07/02";"27"
"14:30 07/02";"15:30 07/02";"24"
"15:30 07/02";"16:30 07/02";"21"
"16:30 07/02";"17:30 07/02";"20"
"17:30 07/02";"18:30 07/02";"19"
"18:30 07/02";"19:30 07/02";"17"
"19:30 07/02";"20:30 07/02";"14"
"20:30 07/02";"21:30 07/02";"18"
"21:30 07/02";"22:30 07/02";"22"
"22:30 07/02";"23:30 07/02";"29"
"23:30 07/02";"00:30 08/02";"28"
"00:30 08/02";"01:30 08/02";"30"
"01:30 08/02";"02:30 08/02";"34"
"02:30 08/02";"03:30 08/02";"26"
"03:30 08/02";"04:30 08/02";"26"
"04:30 08/02";"05:30 08/02";"21"
"05:30 08/02";"06:30 08/02";"17"
"06:30 08/02";"07:30 08/02";"16"
"07:30 08/02";"08:30 08/02";"14"
"08:30 08/02";"09:30 08/02";"14"
"09:30 08/02";"10:30 08/02";"14"
"10:30 08/02";"11:30 08/02";"16"
"11:30 08/02";"12:30 08/02";"17"
"12:30 08/02";"13:30 08/02";"17"
"13:30 08/02";"14:30 08/02";"18"
"14:30 08/02";"15:30 08/02";"17"
"15:30 08/02";"16:30 08/02";"16"
"16:30 08/02";"17:30 08/02";"15"
"17:30 08/02";"18:30 08/02";"15"
"18:30 08/02";"19:30 08/02";"15"
"19:30 08/02";"20:30 08/02";"14"
"20:30 08/02";"21:30 08/02";"14"
"21:30 08/02";"22:30 08/02";"18"
"22:30 08/02";"23:30 08/02";"17"
"23:30 08/02";"00:30 09/02";"18"
"00:30 09/02";"01:30 09/02";"19"
"01:30 09/02";"02:30 09/02";"21"
"02:30 09/02";"03:30 09/02";"24"
"03:30 09/02";"04:30 09/02";"25"
"04:30 09/02";"05:30 09/02";"21"
"05:30 09/02";"06:30 09/02";"19"
"06:30 09/02";"07:30 09/02";"17"
"07:30 09/02";"08:30 09/02";"15"
"08:30 09/02";"09:30 09/02";"15"
"09:30 09/02";"10:30 09/02";"22"
"10:30 09/02";"11:30 09/02";"31"
"11:30 09/02";"12:30 09/02";"29"
"12:30 09/02";"13:30 09/02";"26"
"13:30 09/02";"14:30 09/02";"26"
"14:30 09/02";"15:30 09/02";"27"
"15:30 09/02";"16:30 09/02";"28"
"16:30 09/02";"17:30 09/02";"27"
"17:30 09/02";"18:30 09/02";"29"
"18:30 09/02";"19:30 09/02";"31"
"19:30 09/02";"20:30 09/02";"31"
"20:30 09/02";"21:30 09/02";"34"
"21:30 09/02";"22:30 09/02";"41"
"22:30 09/02";"23:30 09/02";"38"
"23:30 09/02";"00:30 10/02";"40"
"00:30 10/02";"01:30 10/02";"40"
"01:30 10/02";"02:30 10/02";"50"
"02:30 10/02";"03:30 10/02";"48"
"03:30 10/02";"04:30 10/02";"56"
"04:30 10/02";"05:30 10/02";"75"
"05:30 10/02";"06:30 10/02";"78"
"06:30 10/02";"07:30 10/02";"58"
"07:30 10/02";"08:30 10/02";"63"
"08:30 10/02";"09:30 10/02";"63"
"09:30 10/02";"10:30 10/02";"69"
"10:30 10/02";"11:30 10/02";"74"
"11:30 10/02";"12:30 10/02";"65"
"12:30 10/02";"13:30 10/02";"69"
"13:30 10/02";"14:30 10/02";"64"
"14:30 10/02";"15:30 10/02";"61"
"15:30 10/02";"16:30 10/02";"68"
"16:30 10/02";"17:30 10/02";"49"
"17:30 10/02";"18:30 10/02";"45"
"18:30 10/02";"19:30 10/02";"44"
"19:30 10/02";"20:30 10/02";"47"
"20:30 10/02";"21:30 10/02";"43"
"21:30 10/02";"22:30 10/02";"53"
"22:30 10/02";"23:30 10/02";"66"
"23:30 10/02";"00:30 11/02";"62"
"00:30 11/02";"01:30 11/02";"52"
"01:30 11/02";"02:30 11/02";"43"
"02:30 11/02";"03:30 11/02";"42"
"03:30 11/02";"04:30 11/02";"42"
"04:30 11/02";"05:30 11/02";"41"
"05:30 11/02";"06:30 11/02";"53"
"06:30 11/02";"07:30 11/02";"55"
"07:30 11/02";"08:30 11/02";"45"
"08:30 11/02";"09:30 11/02";"31"
"09:30 11/02";"10:30 11/02";"31"
"10:30 11/02";"11:30 11/02";"33"
"11:30 11/02";"12:30 11/02";"34"
"12:30 11/02";"13:30 11/02";"29"
"13:30 11/02";"14:30 11/02";"28"
"14:30 11/02";"15:30 11/02";"26"
"15:30 11/02";"16:30 11/02";"26"
"16:30 11/02";"17:30 11/02";"27"
"17:30 11/02";"18:30 11/02";"27"
"18:30 11/02";"19:30 11/02";"25"
"19:30 11/02";"20:30 11/02";"21"
"20:30 11/02";"21:30 11/02";"21"
"21:30 11/02";"22:30 11/02";"25"
"22:30 11/02";"23:30 11/02";"22"
"23:30 11/02";"00:30 12/02";"20"
"00:30 12/02";"01:30 12/02";"25"
"01:30 12/02";"02:30 12/02";"28"
"02:30 12/02";"03:30 12/02";"31"
"03:30 12/02";"04:30 12/02";"30"
"04:30 12/02";"05:30 12/02";"29"
"05:30 12/02";"06:30 12/02";"19"
"06:30 12/02";"07:30 12/02";"11"
"07:30 12/02";"08:30 12/02";"16"
"08:30 12/02";"09:30 12/02";"9"
"09:30 12/02";"10:30 12/02";"13"
"10:30 12/02";"11:30 12/02";"19"
"11:30 12/02";"12:30 12/02";"22"
"12:30 12/02";"13:30 12/02";"21"
"13:30 12/02";"14:30 12/02";"16"
"14:30 12/02";"15:30 12/02";"14"
"15:30 12/02";"16:30 12/02";"12"
"16:30 12/02";"17:30 12/02";"13"
"17:30 12/02";"18:30 12/02";"13"
"18:30 12/02";"19:30 12/02";"13"
"19:30 12/02";"20:30 12/02";"16"
"20:30 12/02";"21:30 12/02";"14"
"21:30 12/02";"22:30 12/02";"10"
"22:30 12/02";"23:30 12/02";"15"
"23:30 12/02";"00:30 13/02";"30"
"00:30 13/02";"01:30 13/02";"35"
"01:30 13/02";"02:30 13/02";"36"
"02:30 13/02";"03:30 13/02";"36"
"03:30 13/02";"04:30 13/02";"31"
"04:30 13/02";"05:30 13/02";"38"
"05:30 13/02";"06:30 13/02";"42"
"06:30 13/02";"07:30 13/02";"40"
"07:30 13/02";"08:30 13/02";"39"
"08:30 13/02";"09:30 13/02";"36"
"09:30 13/02";"10:30 13/02";"34"
"10:30 13/02";"11:30 13/02";"34"
"11:30 13/02";"12:30 13/02";"33"
"12:30 13/02";"13:30 13/02";"32"
"13:30 13/02";"14:30 13/02";"25"
"14:30 13/02";"15:30 13/02";"24"
"15:30 13/02";"16:30 13/02";"22"
"16:30 13/02";"17:30 13/02";"22"
"17:30 13/02";"18:30 13/02";"17"
"18:30 13/02";"19:30 13/02";"10"
"19:30 13/02";"20:30 13/02";"6"
"20:30 13/02";"21:30 13/02";"4"
"21:30 13/02";"22:30 13/02";"7"
"22:30 13/02";"23:30 13/02";"6"
"23:30 13/02";"00:30 14/02";"11"
"00:30 14/02";"01:30 14/02";"21"
"01:30 14/02";"02:30 14/02";"18"
"02:30 14/02";"03:30 14/02";"17"
"03:30 14/02";"04:30 14/02";"15"
"04:30 14/02";"05:30 14/02";"12"
"05:30 14/02";"06:30 14/02";"11"
"06:30 14/02";"07:30 14/02";"12"
"07:30 14/02";"08:30 14/02";"9"
"08:30 14/02";"09:30 14/02";"9"
"09:30 14/02";"10:30 14/02";"10"
"10:30 14/02";"11:30 14/02";"11"
"11:30 14/02";"12:30 14/02";"10"
"12:30 14/02";"13:30 14/02";"11"
"13:30 14/02";"14:30 14/02";"14"
"14:30 14/02";"15:30 14/02";"14"
"15:30 14/02";"16:30 14/02";"14"
"16:30 14/02";"17:30 14/02";"14"
"17:30 14/02";"18:30 14/02";"15"
"18:30 14/02";"19:30 14/02";"15"
"19:30 14/02";"20:30 14/02";"14"
"20:30 14/02";"21:30 14/02";"16"
"21:30 14/02";"22:30 14/02";"17"
"22:30 14/02";"23:30 14/02";"17"
"23:30 14/02";"00:30 15/02";"18"
"00:30 15/02";"01:30 15/02";"19"
"01:30 15/02";"02:30 15/02";"21"
"02:30 15/02";"03:30 15/02";"18"
"03:30 15/02";"04:30 15/02";"15"
"04:30 15/02";"05:30 15/02";"14"
"05:30 15/02";"06:30 15/02";"15"
"06:30 15/02";"07:30 15/02";"13"
"07:30 15/02";"08:30 15/02";"14"
"08:30 15/02";"09:30 15/02";"14"
"09:30 15/02";"10:30 15/02";"15"
"10:30 15/02";"11:30 15/02";"18"
"11:30 15/02";"12:30 15/02";"21"
"12:30 15/02";"13:30 15/02";"24"
"13:30 15/02";"14:30 15/02";"24"
"14:30 15/02";"15:30 15/02";"24"
"15:30 15/02";"16:30 15/02";"27"
"16:30 15/02";"17:30 15/02";"28"
"17:30 15/02";"18:30 15/02";"27"
"18:30 15/02";"19:30 15/02";"28"
"19:30 15/02";"20:30 15/02";"28"
"20:30 15/02";"21:30 15/02";"30"
"21:30 15/02";"22:30 15/02";"31"
"22:30 15/02";"23:30 15/02";"31"
"23:30 15/02";"00:30 16/02";"30"
"00:30 16/02";"01:30 16/02";"28"
"01:30 16/02";"02:30 16/02";"28"
"02:30 16/02";"03:30 16/02";"32"
"03:30 16/02";"04:30 16/02";"31"
"04:30 16/02";"05:30 16/02";"32"
"05:30 16/02";"06:30 16/02";"36"
"06:30 16/02";"07:30 16/02";"32"
"07:30 16/02";"08:30 16/02";"32"
"08:30 16/02";"09:30 16/02";"33"
"09:30 16/02";"10:30 16/02";"34"
"10:30 16/02";"11:30 16/02";"33"
"11:30 16/02";"12:30 16/02";"35"
"12:30 16/02";"13:30 16/02";"36"
"13:30 16/02";"14:30 16/02";"33"
"14:30 16/02";"15:30 16/02";"24"
"15:30 16/02";"16:30 16/02";"23"
"16:30 16/02";"17:30 16/02";"25"
"17:30 16/02";"18:30 16/02";"25"
"18:30 16/02";"19:30 16/02";"23"
"19:30 16/02";"20:30 16/02";"22"
"20:30 16/02";"21:30 16/02";"20"
"21:30 16/02";"22:30 16/02";"25"
"22:30 16/02";"23:30 16/02";"26"
"23:30 16/02";"00:30 17/02";"31"
"00:30 17/02";"01:30 17/02";"35"
"01:30 17/02";"02:30 17/02";"39"
"02:30 17/02";"03:30 17/02";"40"
"03:30 17/02";"04:30 17/02";"42"
"04:30 17/02";"05:30 17/02";"45"
"05:30 17/02";"06:30 17/02";"44"
"06:30 17/02";"07:30 17/02";"47"
"07:30 17/02";"08:30 17/02";"51"
"08:30 17/02";"09:30 17/02";"49"
"09:30 17/02";"10:30 17/02";"53"
"10:30 17/02";"11:30 17/02";"56"
"11:30 17/02";"12:30 17/02";"66"
"12:30 17/02";"13:30 17/02";"57"
"13:30 17/02";"14:30 17/02";"58"
"14:30 17/02";"15:30 17/02";"61"
"15:30 17/02";"16:30 17/02";"55"
"16:30 17/02";"17:30 17/02";"61"
"17:30 17/02";"18:30 17/02";"61"
"18:30 17/02";"19:30 17/02";"63"
"19:30 17/02";"20:30 17/02";"65"
"20:30 17/02";"21:30 17/02";"65"
"21:30 17/02";"22:30 17/02";"66"
"22:30 17/02";"23:30 17/02";"70"
"23:30 17/02";"00:30 18/02";"64"
"00:30 18/02";"01:30 18/02";"60"
"01:30 18/02";"02:30 18/02";"59"
"02:30 18/02";"03:30 18/02";"56"
"03:30 18/02";"04:30 18/02";"50"
"04:30 18/02";"05:30 18/02";"47"
"05:30 18/02";"06:30 18/02";"42"
