From;To;ID 2873 - PM2.5
"01/2019";"02/2019";"36"
"02/2019";"03/2019";"30"
"03/2019";"04/2019";"20"
"04/2019";"05/2019";"21"
"05/2019";"06/2019";"14"
"06/2019";"07/2019";"12"
"07/2019";"08/2019";"8"
"08/2019";"09/2019";"11"
"09/2019";"10/2019";"13"
"10/2019";"11/2019";"23"
"11/2019";"12/2019";"28"
"12/2019";"01/2020";"27"
