From;To;ID 2873 - PM2.5
"04:30 01/12";"05:30 01/12";"37"
"05:30 01/12";"06:30 01/12";"37"
"06:30 01/12";"07:30 01/12";"39"
"07:30 01/12";"08:30 01/12";"35"
"08:30 01/12";"09:30 01/12";"32"
"09:30 01/12";"10:30 01/12";"30"
"10:30 01/12";"11:30 01/12";"29"
"11:30 01/12";"12:30 01/12";"25"
"12:30 01/12";"13:30 01/12";"21"
"13:30 01/12";"14:30 01/12";"22"
"14:30 01/12";"15:30 01/12";"27"
"15:30 01/12";"16:30 01/12";"24"
"16:30 01/12";"17:30 01/12";"24"
"17:30 01/12";"18:30 01/12";"25"
"18:30 01/12";"19:30 01/12";"28"
"19:30 01/12";"20:30 01/12";"36"
"20:30 01/12";"21:30 01/12";"41"
"21:30 01/12";"22:30 01/12";"61"
"22:30 01/12";"23:30 01/12";"74"
"23:30 01/12";"00:30 02/12";"74"
"00:30 02/12";"01:30 02/12";"66"
"01:30 02/12";"02:30 02/12";"58"
"02:30 02/12";"03:30 02/12";"54"
"03:30 02/12";"04:30 02/12";"52"
"04:30 02/12";"05:30 02/12";"45"
"05:30 02/12";"06:30 02/12";"39"
"06:30 02/12";"07:30 02/12";"39"
"07:30 02/12";"08:30 02/12";"39"
"08:30 02/12";"09:30 02/12";"37"
"09:30 02/12";"10:30 02/12";"36"
"10:30 02/12";"11:30 02/12";"36"
"11:30 02/12";"12:30 02/12";"36"
"12:30 02/12";"13:30 02/12";"36"
"13:30 02/12";"14:30 02/12";"38"
"14:30 02/12";"15:30 02/12";"39"
"15:30 02/12";"16:30 02/12";"39"
"16:30 02/12";"17:30 02/12";"38"
"17:30 02/12";"18:30 02/12";"39"
"18:30 02/12";"19:30 02/12";"37"
"19:30 02/12";"20:30 02/12";"35"
"20:30 02/12";"21:30 02/12";"32"
"21:30 02/12";"22:30 02/12";"28"
"22:30 02/12";"23:30 02/12";"24"
"23:30 02/12";"00:30 03/12";"25"
"00:30 03/12";"01:30 03/12";"27"
"01:30 03/12";"02:30 03/12";"25"
"02:30 03/12";"03:30 03/12";"25"
"03:30 03/12";"04:30 03/12";"26"
"04:30 03/12";"05:30 03/12";"26"
"05:30 03/12";"06:30 03/12";"25"
"06:30 03/12";"07:30 03/12";"16"
"07:30 03/12";"08:30 03/12";"13"
"08:30 03/12";"09:30 03/12";"19"
"09:30 03/12";"10:30 03/12";"26"
"10:30 03/12";"11:30 03/12";"27"
"11:30 03/12";"12:30 03/12";"28"
"12:30 03/12";"13:30 03/12";"28"
"13:30 03/12";"14:30 03/12";"27"
"14:30 03/12";"15:30 03/12";"21"
"15:30 03/12";"16:30 03/12";"15"
"16:30 03/12";"17:30 03/12";"17"
"17:30 03/12";"18:30 03/12";"17"
"18:30 03/12";"19:30 03/12";"13"
"19:30 03/12";"20:30 03/12";"18"
"20:30 03/12";"21:30 03/12";"27"
"21:30 03/12";"22:30 03/12";"36"
"22:30 03/12";"23:30 03/12";"34"
"23:30 03/12";"00:30 04/12";"37"
"00:30 04/12";"01:30 04/12";"39"
"01:30 04/12";"02:30 04/12";"38"
"02:30 04/12";"03:30 04/12";"36"
"03:30 04/12";"04:30 04/12";"36"
"04:30 04/12";"05:30 04/12";"40"
"05:30 04/12";"06:30 04/12";"38"
"06:30 04/12";"07:30 04/12";"34"
"07:30 04/12";"08:30 04/12";"30"
"08:30 04/12";"09:30 04/12";"27"
"09:30 04/12";"10:30 04/12";"27"
"10:30 04/12";"11:30 04/12";"29"
"11:30 04/12";"12:30 04/12";"30"
"12:30 04/12";"13:30 04/12";"32"
"13:30 04/12";"14:30 04/12";"33"
"14:30 04/12";"15:30 04/12";"33"
"15:30 04/12";"16:30 04/12";"33"
"16:30 04/12";"17:30 04/12";"35"
"17:30 04/12";"18:30 04/12";"37"
"18:30 04/12";"19:30 04/12";"37"
"19:30 04/12";"20:30 04/12";"37"
"20:30 04/12";"21:30 04/12";"36"
"21:30 04/12";"22:30 04/12";"35"
"22:30 04/12";"23:30 04/12";"37"
"23:30 04/12";"00:30 05/12";"37"
"00:30 05/12";"01:30 05/12";"38"
"01:30 05/12";"02:30 05/12";"38"
"02:30 05/12";"03:30 05/12";"38"
"03:30 05/12";"04:30 05/12";"38"
"04:30 05/12";"05:30 05/12";"38"
"05:30 05/12";"06:30 05/12";"36"
"06:30 05/12";"07:30 05/12";"34"
"07:30 05/12";"08:30 05/12";"32"
"08:30 05/12";"09:30 05/12";"30"
"09:30 05/12";"10:30 05/12";"30"
"10:30 05/12";"11:30 05/12";"33"
"11:30 05/12";"12:30 05/12";"36"
"12:30 05/12";"13:30 05/12";"37"
"13:30 05/12";"14:30 05/12";"33"
"14:30 05/12";"15:30 05/12";"29"
"15:30 05/12";"16:30 05/12";"28"
"16:30 05/12";"17:30 05/12";"30"
"17:30 05/12";"18:30 05/12";"30"
"18:30 05/12";"19:30 05/12";"30"
"19:30 05/12";"20:30 05/12";"31"
"20:30 05/12";"21:30 05/12";"35"
"21:30 05/12";"22:30 05/12";"39"
"22:30 05/12";"23:30 05/12";"39"
"23:30 05/12";"00:30 06/12";"43"
"00:30 06/12";"01:30 06/12";"42"
"01:30 06/12";"02:30 06/12";"42"
"02:30 06/12";"03:30 06/12";"42"
"03:30 06/12";"04:30 06/12";"42"
"04:30 06/12";"05:30 06/12";"42"
"05:30 06/12";"06:30 06/12";"41"
"06:30 06/12";"07:30 06/12";"41"
"07:30 06/12";"08:30 06/12";"42"
"08:30 06/12";"09:30 06/12";"41"
"09:30 06/12";"10:30 06/12";"39"
"10:30 06/12";"11:30 06/12";"38"
"11:30 06/12";"12:30 06/12";"38"
"12:30 06/12";"13:30 06/12";"38"
"13:30 06/12";"14:30 06/12";"37"
"14:30 06/12";"15:30 06/12";"34"
"15:30 06/12";"16:30 06/12";"32"
"16:30 06/12";"17:30 06/12";"30"
"17:30 06/12";"18:30 06/12";"30"
"18:30 06/12";"19:30 06/12";"31"
"19:30 06/12";"20:30 06/12";"34"
"20:30 06/12";"21:30 06/12";"37"
"21:30 06/12";"22:30 06/12";"38"
"22:30 06/12";"23:30 06/12";"38"
"23:30 06/12";"00:30 07/12";"39"
"00:30 07/12";"01:30 07/12";"40"
"01:30 07/12";"02:30 07/12";"40"
"02:30 07/12";"03:30 07/12";"39"
"03:30 07/12";"04:30 07/12";"39"
"04:30 07/12";"05:30 07/12";"38"
"05:30 07/12";"06:30 07/12";"36"
"06:30 07/12";"07:30 07/12";"35"
"07:30 07/12";"08:30 07/12";"33"
"08:30 07/12";"09:30 07/12";"30"
"09:30 07/12";"10:30 07/12";"27"
"10:30 07/12";"11:30 07/12";"25"
"11:30 07/12";"12:30 07/12";"26"
"12:30 07/12";"13:30 07/12";"26"
"13:30 07/12";"14:30 07/12";"25"
"14:30 07/12";"15:30 07/12";"25"
"15:30 07/12";"16:30 07/12";"26"
"16:30 07/12";"17:30 07/12";"23"
"17:30 07/12";"18:30 07/12";"23"
"18:30 07/12";"19:30 07/12";"22"
"19:30 07/12";"20:30 07/12";"22"
"20:30 07/12";"21:30 07/12";"18"
"21:30 07/12";"22:30 07/12";"16"
"22:30 07/12";"23:30 07/12";"14"
"23:30 07/12";"00:30 08/12";"13"
"00:30 08/12";"01:30 08/12";"14"
"01:30 08/12";"02:30 08/12";"16"
"02:30 08/12";"03:30 08/12";"17"
"03:30 08/12";"04:30 08/12";"15"
