From;To;ID 6437 - PM2.5
"04:30 01/03";"05:30 01/03";"34"
"05:30 01/03";"06:30 01/03";"34"
"06:30 01/03";"07:30 01/03";"34"
"07:30 01/03";"08:30 01/03";"34"
"08:30 01/03";"09:30 01/03";"35"
"09:30 01/03";"10:30 01/03";"35"
"10:30 01/03";"11:30 01/03";"35"
"11:30 01/03";"12:30 01/03";"36"
"12:30 01/03";"13:30 01/03";"33"
"13:30 01/03";"14:30 01/03";"31"
"14:30 01/03";"15:30 01/03";"27"
"15:30 01/03";"16:30 01/03";"21"
"16:30 01/03";"17:30 01/03";"21"
"17:30 01/03";"18:30 01/03";"22"
"18:30 01/03";"19:30 01/03";"19"
"19:30 01/03";"20:30 01/03";"5"
"20:30 01/03";"21:30 01/03";"4"
"21:30 01/03";"22:30 01/03";"7"
"22:30 01/03";"23:30 01/03";"6"
"23:30 01/03";"00:30 02/03";"7"
"00:30 02/03";"01:30 02/03";"4"
"01:30 02/03";"02:30 02/03";"5"
"02:30 02/03";"03:30 02/03";"5"
"03:30 02/03";"04:30 02/03";"7"
"04:30 02/03";"05:30 02/03";"11"
"05:30 02/03";"06:30 02/03";"14"
"06:30 02/03";"07:30 02/03";"14"
"07:30 02/03";"08:30 02/03";"10"
"08:30 02/03";"09:30 02/03";"9"
"09:30 02/03";"10:30 02/03";"9"
"10:30 02/03";"11:30 02/03";"7"
"11:30 02/03";"12:30 02/03";"7"
"12:30 02/03";"13:30 02/03";"6"
"13:30 02/03";"14:30 02/03";"5"
"14:30 02/03";"15:30 02/03";"5"
"15:30 02/03";"16:30 02/03";"7"
"16:30 02/03";"17:30 02/03";"8"
"17:30 02/03";"18:30 02/03";"8"
"18:30 02/03";"19:30 02/03";"11"
"19:30 02/03";"20:30 02/03";"13"
"20:30 02/03";"21:30 02/03";"18"
"21:30 02/03";"22:30 02/03";"32"
"22:30 02/03";"23:30 02/03";"59"
"23:30 02/03";"00:30 03/03";"78"
"00:30 03/03";"01:30 03/03";"100"
"01:30 03/03";"02:30 03/03";"76"
"02:30 03/03";"03:30 03/03";"75"
"03:30 03/03";"04:30 03/03";"61"
"04:30 03/03";"05:30 03/03";"59"
"05:30 03/03";"06:30 03/03";"53"
"06:30 03/03";"07:30 03/03";"49"
"07:30 03/03";"08:30 03/03";"50"
"08:30 03/03";"09:30 03/03";"52"
"09:30 03/03";"10:30 03/03";"51"
"10:30 03/03";"11:30 03/03";"48"
"11:30 03/03";"12:30 03/03";"53"
"12:30 03/03";"13:30 03/03";"51"
"13:30 03/03";"14:30 03/03";"43"
"14:30 03/03";"15:30 03/03";"38"
"15:30 03/03";"16:30 03/03";"36"
"16:30 03/03";"17:30 03/03";"34"
"17:30 03/03";"18:30 03/03";"35"
"18:30 03/03";"19:30 03/03";"36"
"19:30 03/03";"20:30 03/03";"36"
"20:30 03/03";"21:30 03/03";"36"
"21:30 03/03";"22:30 03/03";"30"
"22:30 03/03";"23:30 03/03";"27"
"23:30 03/03";"00:30 04/03";"25"
"00:30 04/03";"01:30 04/03";"25"
"01:30 04/03";"02:30 04/03";"25"
"02:30 04/03";"03:30 04/03";"26"
"03:30 04/03";"04:30 04/03";"25"
"04:30 04/03";"05:30 04/03";"25"
"05:30 04/03";"06:30 04/03";"26"
"06:30 04/03";"07:30 04/03";"25"
"07:30 04/03";"08:30 04/03";"24"
"08:30 04/03";"09:30 04/03";"20"
"09:30 04/03";"10:30 04/03";"18"
"10:30 04/03";"11:30 04/03";"17"
"11:30 04/03";"12:30 04/03";"17"
"12:30 04/03";"13:30 04/03";"16"
"13:30 04/03";"14:30 04/03";"14"
"14:30 04/03";"15:30 04/03";"10"
"15:30 04/03";"16:30 04/03";"8"
"16:30 04/03";"17:30 04/03";"9"
"17:30 04/03";"18:30 04/03";"10"
"18:30 04/03";"19:30 04/03";"8"
"19:30 04/03";"20:30 04/03";"7"
"20:30 04/03";"21:30 04/03";"14"
"21:30 04/03";"22:30 04/03";"15"
"22:30 04/03";"23:30 04/03";"17"
"23:30 04/03";"00:30 05/03";"14"
"00:30 05/03";"01:30 05/03";"13"
"01:30 05/03";"02:30 05/03";"8"
"02:30 05/03";"03:30 05/03";"7"
"03:30 05/03";"04:30 05/03";"5"
"04:30 05/03";"05:30 05/03";"4"
"05:30 05/03";"06:30 05/03";"4"
"06:30 05/03";"07:30 05/03";"4"
"07:30 05/03";"08:30 05/03";"5"
"08:30 05/03";"09:30 05/03";"7"
"09:30 05/03";"10:30 05/03";"9"
"10:30 05/03";"11:30 05/03";"11"
"11:30 05/03";"12:30 05/03";"12"
"12:30 05/03";"13:30 05/03";"12"
"13:30 05/03";"14:30 05/03";"9"
"14:30 05/03";"15:30 05/03";"8"
"15:30 05/03";"16:30 05/03";"10"
"16:30 05/03";"17:30 05/03";"11"
"17:30 05/03";"18:30 05/03";"11"
"18:30 05/03";"19:30 05/03";"13"
"19:30 05/03";"20:30 05/03";"9"
"20:30 05/03";"21:30 05/03";"8"
"21:30 05/03";"22:30 05/03";"8"
"22:30 05/03";"23:30 05/03";"7"
"23:30 05/03";"00:30 06/03";"9"
"00:30 06/03";"01:30 06/03";"13"
"01:30 06/03";"02:30 06/03";"13"
"02:30 06/03";"03:30 06/03";"13"
"03:30 06/03";"04:30 06/03";"16"
"04:30 06/03";"05:30 06/03";"18"
"05:30 06/03";"06:30 06/03";"17"
"06:30 06/03";"07:30 06/03";"17"
"07:30 06/03";"08:30 06/03";"4"
"08:30 06/03";"09:30 06/03";"2"
"09:30 06/03";"10:30 06/03";"5"
"10:30 06/03";"11:30 06/03";"9"
"11:30 06/03";"12:30 06/03";"12"
"12:30 06/03";"13:30 06/03";"9"
"13:30 06/03";"14:30 06/03";"10"
"14:30 06/03";"15:30 06/03";"19"
"15:30 06/03";"16:30 06/03";"22"
"16:30 06/03";"17:30 06/03";"23"
"17:30 06/03";"18:30 06/03";"28"
"18:30 06/03";"19:30 06/03";"26"
"19:30 06/03";"20:30 06/03";"24"
"20:30 06/03";"21:30 06/03";"25"
"21:30 06/03";"22:30 06/03";"55"
"22:30 06/03";"23:30 06/03";"47"
"23:30 06/03";"00:30 07/03";"44"
"00:30 07/03";"01:30 07/03";"43"
"01:30 07/03";"02:30 07/03";"43"
"02:30 07/03";"03:30 07/03";"43"
"03:30 07/03";"04:30 07/03";"44"
"04:30 07/03";"05:30 07/03";"41"
"05:30 07/03";"06:30 07/03";"38"
"06:30 07/03";"07:30 07/03";"36"
"07:30 07/03";"08:30 07/03";"32"
"08:30 07/03";"09:30 07/03";"30"
"09:30 07/03";"10:30 07/03";"27"
"10:30 07/03";"11:30 07/03";"26"
"11:30 07/03";"12:30 07/03";"26"
"12:30 07/03";"13:30 07/03";"26"
