From;To;ID 6437 - PM2.5
"03:30 01/10";"04:30 01/10";"5"
"04:30 01/10";"05:30 01/10";"4"
"05:30 01/10";"06:30 01/10";"3"
"06:30 01/10";"07:30 01/10";"2"
"07:30 01/10";"08:30 01/10";"3"
"08:30 01/10";"09:30 01/10";"3"
"09:30 01/10";"10:30 01/10";"4"
"10:30 01/10";"11:30 01/10";"4"
"11:30 01/10";"12:30 01/10";"5"
"12:30 01/10";"13:30 01/10";"5"
"13:30 01/10";"14:30 01/10";"6"
"14:30 01/10";"15:30 01/10";"5"
"15:30 01/10";"16:30 01/10";"6"
"16:30 01/10";"17:30 01/10";"6"
"17:30 01/10";"18:30 01/10";"7"
"18:30 01/10";"19:30 01/10";"8"
"19:30 01/10";"20:30 01/10";"7"
"20:30 01/10";"21:30 01/10";"7"
"21:30 01/10";"22:30 01/10";"7"
"22:30 01/10";"23:30 01/10";"7"
"23:30 01/10";"00:30 02/10";"7"
"00:30 02/10";"01:30 02/10";"5"
"01:30 02/10";"02:30 02/10";"5"
"02:30 02/10";"03:30 02/10";"6"
"03:30 02/10";"04:30 02/10";"6"
"04:30 02/10";"05:30 02/10";"6"
"05:30 02/10";"06:30 02/10";"6"
"06:30 02/10";"07:30 02/10";"6"
"07:30 02/10";"08:30 02/10";"7"
"08:30 02/10";"09:30 02/10";"9"
"09:30 02/10";"10:30 02/10";"9"
"10:30 02/10";"11:30 02/10";"14"
"11:30 02/10";"12:30 02/10";"16"
"12:30 02/10";"13:30 02/10";"13"
"13:30 02/10";"14:30 02/10";"13"
"14:30 02/10";"15:30 02/10";"15"
"15:30 02/10";"16:30 02/10";"16"
"16:30 02/10";"17:30 02/10";"16"
"17:30 02/10";"18:30 02/10";"15"
"18:30 02/10";"19:30 02/10";"13"
"19:30 02/10";"20:30 02/10";"12"
"20:30 02/10";"21:30 02/10";"8"
"21:30 02/10";"22:30 02/10";"10"
"22:30 02/10";"23:30 02/10";"13"
"23:30 02/10";"00:30 03/10";"11"
"00:30 03/10";"01:30 03/10";"7"
"01:30 03/10";"02:30 03/10";"7"
"02:30 03/10";"03:30 03/10";"7"
"03:30 03/10";"04:30 03/10";"12"
"04:30 03/10";"05:30 03/10";"10"
"05:30 03/10";"06:30 03/10";"11"
"06:30 03/10";"07:30 03/10";"12"
"07:30 03/10";"08:30 03/10";"12"
"08:30 03/10";"09:30 03/10";"17"
"09:30 03/10";"10:30 03/10";"9"
"10:30 03/10";"11:30 03/10";"11"
"11:30 03/10";"12:30 03/10";"16"
"12:30 03/10";"13:30 03/10";"19"
"13:30 03/10";"14:30 03/10";"16"
"14:30 03/10";"15:30 03/10";"11"
"15:30 03/10";"16:30 03/10";"8"
"16:30 03/10";"17:30 03/10";"7"
"17:30 03/10";"18:30 03/10";"8"
"18:30 03/10";"19:30 03/10";"8"
"19:30 03/10";"20:30 03/10";"9"
"20:30 03/10";"21:30 03/10";"12"
"21:30 03/10";"22:30 03/10";"31"
"22:30 03/10";"23:30 03/10";"20"
"23:30 03/10";"00:30 04/10";"18"
"00:30 04/10";"01:30 04/10";"20"
"01:30 04/10";"02:30 04/10";"22"
"02:30 04/10";"03:30 04/10";"22"
"03:30 04/10";"04:30 04/10";"23"
"04:30 04/10";"05:30 04/10";"22"
"05:30 04/10";"06:30 04/10";"23"
"06:30 04/10";"07:30 04/10";"25"
"07:30 04/10";"08:30 04/10";"25"
"08:30 04/10";"09:30 04/10";"25"
"09:30 04/10";"10:30 04/10";"27"
"10:30 04/10";"11:30 04/10";"24"
"11:30 04/10";"12:30 04/10";"23"
"12:30 04/10";"13:30 04/10";"22"
"13:30 04/10";"14:30 04/10";"19"
"14:30 04/10";"15:30 04/10";"12"
"15:30 04/10";"16:30 04/10";"8"
"16:30 04/10";"17:30 04/10";"6"
"17:30 04/10";"18:30 04/10";"4"
"18:30 04/10";"19:30 04/10";"4"
"19:30 04/10";"20:30 04/10";"6"
"20:30 04/10";"21:30 04/10";"11"
"21:30 04/10";"22:30 04/10";"37"
"22:30 04/10";"23:30 04/10";"80"
"23:30 04/10";"00:30 05/10";"78"
"00:30 05/10";"01:30 05/10";"66"
"01:30 05/10";"02:30 05/10";"59"
"02:30 05/10";"03:30 05/10";"55"
"03:30 05/10";"04:30 05/10";"44"
"04:30 05/10";"05:30 05/10";"45"
"05:30 05/10";"06:30 05/10";"41"
"06:30 05/10";"07:30 05/10";"37"
"07:30 05/10";"08:30 05/10";"29"
"08:30 05/10";"09:30 05/10";"26"
"09:30 05/10";"10:30 05/10";"26"
"10:30 05/10";"11:30 05/10";"28"
"11:30 05/10";"12:30 05/10";"26"
"12:30 05/10";"13:30 05/10";"23"
"13:30 05/10";"14:30 05/10";"22"
