From;To;ID 86548 - PM2.5
"01/2021";"02/2021";"37"
"02/2021";"03/2021";"36"
"03/2021";"04/2021";"22"
"04/2021";"05/2021";"17"
"05/2021";"06/2021";"9"
"06/2021";"07/2021";"13"
"07/2021";"08/2021";""
"08/2021";"09/2021";""
"09/2021";"10/2021";"12"
"10/2021";"11/2021";"23"
"11/2021";"12/2021";"26"
"12/2021";"01/2022";"26"
