From;To;ID 86548 - PM2.5
"03:30 01/09";"04:30 01/09";""
"04:30 01/09";"05:30 01/09";""
"05:30 01/09";"06:30 01/09";""
"06:30 01/09";"07:30 01/09";""
"07:30 01/09";"08:30 01/09";""
"08:30 01/09";"09:30 01/09";""
"09:30 01/09";"10:30 01/09";""
"10:30 01/09";"11:30 01/09";""
"11:30 01/09";"12:30 01/09";""
"12:30 01/09";"13:30 01/09";""
"13:30 01/09";"14:30 01/09";""
"14:30 01/09";"15:30 01/09";""
"15:30 01/09";"16:30 01/09";""
"16:30 01/09";"17:30 01/09";""
"17:30 01/09";"18:30 01/09";""
"18:30 01/09";"19:30 01/09";""
"19:30 01/09";"20:30 01/09";""
"20:30 01/09";"21:30 01/09";""
"21:30 01/09";"22:30 01/09";""
"22:30 01/09";"23:30 01/09";""
"23:30 01/09";"00:30 02/09";""
"00:30 02/09";"01:30 02/09";""
"01:30 02/09";"02:30 02/09";""
"02:30 02/09";"03:30 02/09";""
"03:30 02/09";"04:30 02/09";""
"04:30 02/09";"05:30 02/09";""
"05:30 02/09";"06:30 02/09";""
"06:30 02/09";"07:30 02/09";""
"07:30 02/09";"08:30 02/09";""
"08:30 02/09";"09:30 02/09";""
"09:30 02/09";"10:30 02/09";""
"10:30 02/09";"11:30 02/09";""
"11:30 02/09";"12:30 02/09";""
"12:30 02/09";"13:30 02/09";""
"13:30 02/09";"14:30 02/09";""
"14:30 02/09";"15:30 02/09";""
"15:30 02/09";"16:30 02/09";""
"16:30 02/09";"17:30 02/09";""
"17:30 02/09";"18:30 02/09";""
"18:30 02/09";"19:30 02/09";""
"19:30 02/09";"20:30 02/09";""
"20:30 02/09";"21:30 02/09";""
"21:30 02/09";"22:30 02/09";""
"22:30 02/09";"23:30 02/09";""
"23:30 02/09";"00:30 03/09";""
"00:30 03/09";"01:30 03/09";""
"01:30 03/09";"02:30 03/09";""
"02:30 03/09";"03:30 03/09";""
"03:30 03/09";"04:30 03/09";""
"04:30 03/09";"05:30 03/09";""
"05:30 03/09";"06:30 03/09";""
"06:30 03/09";"07:30 03/09";""
"07:30 03/09";"08:30 03/09";""
"08:30 03/09";"09:30 03/09";""
"09:30 03/09";"10:30 03/09";""
"10:30 03/09";"11:30 03/09";""
"11:30 03/09";"12:30 03/09";""
"12:30 03/09";"13:30 03/09";""
"13:30 03/09";"14:30 03/09";""
"14:30 03/09";"15:30 03/09";""
"15:30 03/09";"16:30 03/09";""
"16:30 03/09";"17:30 03/09";""
"17:30 03/09";"18:30 03/09";""
"18:30 03/09";"19:30 03/09";""
"19:30 03/09";"20:30 03/09";""
"20:30 03/09";"21:30 03/09";""
"21:30 03/09";"22:30 03/09";""
"22:30 03/09";"23:30 03/09";""
"23:30 03/09";"00:30 04/09";""
"00:30 04/09";"01:30 04/09";""
"01:30 04/09";"02:30 04/09";""
"02:30 04/09";"03:30 04/09";""
"03:30 04/09";"04:30 04/09";""
"04:30 04/09";"05:30 04/09";""
"05:30 04/09";"06:30 04/09";""
"06:30 04/09";"07:30 04/09";""
"07:30 04/09";"08:30 04/09";""
"08:30 04/09";"09:30 04/09";""
"09:30 04/09";"10:30 04/09";""
"10:30 04/09";"11:30 04/09";""
"11:30 04/09";"12:30 04/09";""
"12:30 04/09";"13:30 04/09";""
"13:30 04/09";"14:30 04/09";""
"14:30 04/09";"15:30 04/09";""
"15:30 04/09";"16:30 04/09";""
"16:30 04/09";"17:30 04/09";""
"17:30 04/09";"18:30 04/09";""
"18:30 04/09";"19:30 04/09";""
"19:30 04/09";"20:30 04/09";""
"20:30 04/09";"21:30 04/09";""
"21:30 04/09";"22:30 04/09";""
"22:30 04/09";"23:30 04/09";""
"23:30 04/09";"00:30 05/09";""
"00:30 05/09";"01:30 05/09";""
"01:30 05/09";"02:30 05/09";""
"02:30 05/09";"03:30 05/09";""
