From;To;ID 6437 - PM2.5
"04:30 01/01";"05:30 01/01";"41"
"05:30 01/01";"06:30 01/01";"17"
"06:30 01/01";"07:30 01/01";"15"
"07:30 01/01";"08:30 01/01";"17"
"08:30 01/01";"09:30 01/01";"23"
"09:30 01/01";"10:30 01/01";"20"
"10:30 01/01";"11:30 01/01";"22"
"11:30 01/01";"12:30 01/01";"22"
"12:30 01/01";"13:30 01/01";"19"
"13:30 01/01";"14:30 01/01";"22"
"14:30 01/01";"15:30 01/01";"20"
"15:30 01/01";"16:30 01/01";"20"
"16:30 01/01";"17:30 01/01";"18"
"17:30 01/01";"18:30 01/01";"20"
"18:30 01/01";"19:30 01/01";"26"
"19:30 01/01";"20:30 01/01";"22"
"20:30 01/01";"21:30 01/01";"21"
"21:30 01/01";"22:30 01/01";"21"
"22:30 01/01";"23:30 01/01";"20"
"23:30 01/01";"00:30 02/01";"21"
"00:30 02/01";"01:30 02/01";"24"
"01:30 02/01";"02:30 02/01";"24"
"02:30 02/01";"03:30 02/01";"24"
"03:30 02/01";"04:30 02/01";"25"
"04:30 02/01";"05:30 02/01";"25"
"05:30 02/01";"06:30 02/01";"25"
"06:30 02/01";"07:30 02/01";"26"
"07:30 02/01";"08:30 02/01";"25"
"08:30 02/01";"09:30 02/01";"24"
"09:30 02/01";"10:30 02/01";"23"
"10:30 02/01";"11:30 02/01";"24"
"11:30 02/01";"12:30 02/01";"28"
"12:30 02/01";"13:30 02/01";"27"
"13:30 02/01";"14:30 02/01";"27"
"14:30 02/01";"15:30 02/01";"26"
"15:30 02/01";"16:30 02/01";"26"
"16:30 02/01";"17:30 02/01";"24"
"17:30 02/01";"18:30 02/01";"25"
"18:30 02/01";"19:30 02/01";"26"
"19:30 02/01";"20:30 02/01";"28"
"20:30 02/01";"21:30 02/01";"32"
"21:30 02/01";"22:30 02/01";"35"
"22:30 02/01";"23:30 02/01";"40"
"23:30 02/01";"00:30 03/01";"70"
"00:30 03/01";"01:30 03/01";"72"
"01:30 03/01";"02:30 03/01";"74"
"02:30 03/01";"03:30 03/01";"76"
"03:30 03/01";"04:30 03/01";"74"
"04:30 03/01";"05:30 03/01";"83"
"05:30 03/01";"06:30 03/01";"80"
"06:30 03/01";"07:30 03/01";"71"
"07:30 03/01";"08:30 03/01";"67"
"08:30 03/01";"09:30 03/01";"52"
"09:30 03/01";"10:30 03/01";"47"
"10:30 03/01";"11:30 03/01";"44"
"11:30 03/01";"12:30 03/01";"42"
"12:30 03/01";"13:30 03/01";"42"
"13:30 03/01";"14:30 03/01";"41"
"14:30 03/01";"15:30 03/01";"34"
"15:30 03/01";"16:30 03/01";"31"
"16:30 03/01";"17:30 03/01";"31"
"17:30 03/01";"18:30 03/01";"29"
"18:30 03/01";"19:30 03/01";"35"
"19:30 03/01";"20:30 03/01";"38"
"20:30 03/01";"21:30 03/01";"40"
"21:30 03/01";"22:30 03/01";"48"
"22:30 03/01";"23:30 03/01";"40"
"23:30 03/01";"00:30 04/01";"36"
"00:30 04/01";"01:30 04/01";"35"
"01:30 04/01";"02:30 04/01";"32"
"02:30 04/01";"03:30 04/01";"29"
"03:30 04/01";"04:30 04/01";"30"
"04:30 04/01";"05:30 04/01";"30"
"05:30 04/01";"06:30 04/01";"28"
"06:30 04/01";"07:30 04/01";"26"
"07:30 04/01";"08:30 04/01";"24"
"08:30 04/01";"09:30 04/01";"20"
"09:30 04/01";"10:30 04/01";"12"
"10:30 04/01";"11:30 04/01";"8"
"11:30 04/01";"12:30 04/01";"5"
"12:30 04/01";"13:30 04/01";"6"
"13:30 04/01";"14:30 04/01";"6"
"14:30 04/01";"15:30 04/01";"6"
"15:30 04/01";"16:30 04/01";"7"
"16:30 04/01";"17:30 04/01";"8"
"17:30 04/01";"18:30 04/01";"9"
"18:30 04/01";"19:30 04/01";"11"
"19:30 04/01";"20:30 04/01";"10"
"20:30 04/01";"21:30 04/01";"11"
"21:30 04/01";"22:30 04/01";"13"
"22:30 04/01";"23:30 04/01";"11"
"23:30 04/01";"00:30 05/01";"9"
"00:30 05/01";"01:30 05/01";"9"
"01:30 05/01";"02:30 05/01";"12"
"02:30 05/01";"03:30 05/01";"11"
"03:30 05/01";"04:30 05/01";"11"
"04:30 05/01";"05:30 05/01";"8"
"05:30 05/01";"06:30 05/01";"8"
"06:30 05/01";"07:30 05/01";"5"
"07:30 05/01";"08:30 05/01";"4"
"08:30 05/01";"09:30 05/01";"3"
"09:30 05/01";"10:30 05/01";"3"
"10:30 05/01";"11:30 05/01";"3"
"11:30 05/01";"12:30 05/01";"3"
"12:30 05/01";"13:30 05/01";"6"
"13:30 05/01";"14:30 05/01";"5"
"14:30 05/01";"15:30 05/01";"4"
"15:30 05/01";"16:30 05/01";"4"
"16:30 05/01";"17:30 05/01";"4"
"17:30 05/01";"18:30 05/01";"4"
"18:30 05/01";"19:30 05/01";"7"
"19:30 05/01";"20:30 05/01";"11"
"20:30 05/01";"21:30 05/01";"31"
"21:30 05/01";"22:30 05/01";"37"
"22:30 05/01";"23:30 05/01";"40"
"23:30 05/01";"00:30 06/01";"41"
"00:30 06/01";"01:30 06/01";"45"
"01:30 06/01";"02:30 06/01";"41"
"02:30 06/01";"03:30 06/01";"30"
"03:30 06/01";"04:30 06/01";"39"
"04:30 06/01";"05:30 06/01";"45"
"05:30 06/01";"06:30 06/01";"46"
"06:30 06/01";"07:30 06/01";"45"
"07:30 06/01";"08:30 06/01";"40"
"08:30 06/01";"09:30 06/01";"38"
"09:30 06/01";"10:30 06/01";"37"
"10:30 06/01";"11:30 06/01";"36"
"11:30 06/01";"12:30 06/01";"31"
"12:30 06/01";"13:30 06/01";"28"
"13:30 06/01";"14:30 06/01";"28"
"14:30 06/01";"15:30 06/01";"28"
"15:30 06/01";"16:30 06/01";"31"
"16:30 06/01";"17:30 06/01";"29"
"17:30 06/01";"18:30 06/01";"29"
"18:30 06/01";"19:30 06/01";"32"
"19:30 06/01";"20:30 06/01";"35"
"20:30 06/01";"21:30 06/01";"38"
"21:30 06/01";"22:30 06/01";"41"
"22:30 06/01";"23:30 06/01";"40"
"23:30 06/01";"00:30 07/01";"42"
"00:30 07/01";"01:30 07/01";"45"
"01:30 07/01";"02:30 07/01";"43"
"02:30 07/01";"03:30 07/01";"44"
"03:30 07/01";"04:30 07/01";"46"
"04:30 07/01";"05:30 07/01";"41"
"05:30 07/01";"06:30 07/01";"39"
"06:30 07/01";"07:30 07/01";"38"
"07:30 07/01";"08:30 07/01";"38"
"08:30 07/01";"09:30 07/01";"38"
"09:30 07/01";"10:30 07/01";"37"
"10:30 07/01";"11:30 07/01";"38"
"11:30 07/01";"12:30 07/01";"40"
"12:30 07/01";"13:30 07/01";"38"
"13:30 07/01";"14:30 07/01";"40"
"14:30 07/01";"15:30 07/01";"31"
"15:30 07/01";"16:30 07/01";"25"
"16:30 07/01";"17:30 07/01";"23"
"17:30 07/01";"18:30 07/01";"22"
"18:30 07/01";"19:30 07/01";"28"
"19:30 07/01";"20:30 07/01";"31"
"20:30 07/01";"21:30 07/01";"37"
"21:30 07/01";"22:30 07/01";"40"
"22:30 07/01";"23:30 07/01";"39"
"23:30 07/01";"00:30 08/01";"38"
"00:30 08/01";"01:30 08/01";"58"
"01:30 08/01";"02:30 08/01";"88"
"02:30 08/01";"03:30 08/01";"68"
"03:30 08/01";"04:30 08/01";"67"
"04:30 08/01";"05:30 08/01";"66"
"05:30 08/01";"06:30 08/01";"57"
"06:30 08/01";"07:30 08/01";"55"
"07:30 08/01";"08:30 08/01";"51"
"08:30 08/01";"09:30 08/01";"51"
"09:30 08/01";"10:30 08/01";"47"
"10:30 08/01";"11:30 08/01";"44"
"11:30 08/01";"12:30 08/01";"41"
"12:30 08/01";"13:30 08/01";"41"
"13:30 08/01";"14:30 08/01";"38"
"14:30 08/01";"15:30 08/01";"30"
"15:30 08/01";"16:30 08/01";"25"
"16:30 08/01";"17:30 08/01";"26"
"17:30 08/01";"18:30 08/01";"29"
"18:30 08/01";"19:30 08/01";"30"
"19:30 08/01";"20:30 08/01";"33"
"20:30 08/01";"21:30 08/01";"36"
"21:30 08/01";"22:30 08/01";"35"
"22:30 08/01";"23:30 08/01";"33"
"23:30 08/01";"00:30 09/01";"31"
"00:30 09/01";"01:30 09/01";"32"
"01:30 09/01";"02:30 09/01";"31"
"02:30 09/01";"03:30 09/01";"30"
"03:30 09/01";"04:30 09/01";"31"
"04:30 09/01";"05:30 09/01";"32"
"05:30 09/01";"06:30 09/01";"31"
"06:30 09/01";"07:30 09/01";"31"
"07:30 09/01";"08:30 09/01";"31"
"08:30 09/01";"09:30 09/01";"32"
"09:30 09/01";"10:30 09/01";"31"
"10:30 09/01";"11:30 09/01";"30"
"11:30 09/01";"12:30 09/01";"30"
"12:30 09/01";"13:30 09/01";"28"
"13:30 09/01";"14:30 09/01";"27"
"14:30 09/01";"15:30 09/01";"24"
"15:30 09/01";"16:30 09/01";"22"
"16:30 09/01";"17:30 09/01";"20"
"17:30 09/01";"18:30 09/01";"21"
"18:30 09/01";"19:30 09/01";"25"
"19:30 09/01";"20:30 09/01";"29"
"20:30 09/01";"21:30 09/01";"29"
"21:30 09/01";"22:30 09/01";"31"
"22:30 09/01";"23:30 09/01";"31"
"23:30 09/01";"00:30 10/01";"29"
"00:30 10/01";"01:30 10/01";"33"
"01:30 10/01";"02:30 10/01";"36"
"02:30 10/01";"03:30 10/01";"36"
"03:30 10/01";"04:30 10/01";"35"
"04:30 10/01";"05:30 10/01";"33"
"05:30 10/01";"06:30 10/01";"31"
"06:30 10/01";"07:30 10/01";"31"
"07:30 10/01";"08:30 10/01";"31"
"08:30 10/01";"09:30 10/01";"32"
"09:30 10/01";"10:30 10/01";"32"
"10:30 10/01";"11:30 10/01";"33"
"11:30 10/01";"12:30 10/01";"34"
"12:30 10/01";"13:30 10/01";"36"
"13:30 10/01";"14:30 10/01";"35"
"14:30 10/01";"15:30 10/01";"34"
"15:30 10/01";"16:30 10/01";"35"
"16:30 10/01";"17:30 10/01";"34"
"17:30 10/01";"18:30 10/01";"34"
"18:30 10/01";"19:30 10/01";"35"
"19:30 10/01";"20:30 10/01";"37"
"20:30 10/01";"21:30 10/01";"33"
"21:30 10/01";"22:30 10/01";"29"
"22:30 10/01";"23:30 10/01";"29"
"23:30 10/01";"00:30 11/01";"30"
"00:30 11/01";"01:30 11/01";"28"
"01:30 11/01";"02:30 11/01";"25"
"02:30 11/01";"03:30 11/01";"25"
"03:30 11/01";"04:30 11/01";"26"
"04:30 11/01";"05:30 11/01";"23"
"05:30 11/01";"06:30 11/01";"22"
"06:30 11/01";"07:30 11/01";"25"
"07:30 11/01";"08:30 11/01";"22"
"08:30 11/01";"09:30 11/01";"21"
"09:30 11/01";"10:30 11/01";"16"
"10:30 11/01";"11:30 11/01";"9"
"11:30 11/01";"12:30 11/01";"6"
"12:30 11/01";"13:30 11/01";"7"
"13:30 11/01";"14:30 11/01";"7"
"14:30 11/01";"15:30 11/01";"7"
"15:30 11/01";"16:30 11/01";"6"
"16:30 11/01";"17:30 11/01";"6"
"17:30 11/01";"18:30 11/01";"5"
"18:30 11/01";"19:30 11/01";"5"
"19:30 11/01";"20:30 11/01";"9"
"20:30 11/01";"21:30 11/01";"22"
"21:30 11/01";"22:30 11/01";"18"
"22:30 11/01";"23:30 11/01";"25"
"23:30 11/01";"00:30 12/01";"21"
"00:30 12/01";"01:30 12/01";"16"
