From;To;ID 2873 - PM2.5
"04:30 01/03";"05:30 01/03";"20"
"05:30 01/03";"06:30 01/03";"18"
"06:30 01/03";"07:30 01/03";"16"
"07:30 01/03";"08:30 01/03";"17"
"08:30 01/03";"09:30 01/03";"16"
"09:30 01/03";"10:30 01/03";"13"
"10:30 01/03";"11:30 01/03";"11"
"11:30 01/03";"12:30 01/03";"10"
"12:30 01/03";"13:30 01/03";"9"
"13:30 01/03";"14:30 01/03";"10"
"14:30 01/03";"15:30 01/03";"10"
"15:30 01/03";"16:30 01/03";"11"
"16:30 01/03";"17:30 01/03";"11"
"17:30 01/03";"18:30 01/03";"10"
"18:30 01/03";"19:30 01/03";"9"
"19:30 01/03";"20:30 01/03";"7"
"20:30 01/03";"21:30 01/03";"8"
"21:30 01/03";"22:30 01/03";"10"
"22:30 01/03";"23:30 01/03";"17"
"23:30 01/03";"00:30 02/03";"16"
"00:30 02/03";"01:30 02/03";"22"
"01:30 02/03";"02:30 02/03";"26"
"02:30 02/03";"03:30 02/03";"27"
"03:30 02/03";"04:30 02/03";"26"
"04:30 02/03";"05:30 02/03";"30"
"05:30 02/03";"06:30 02/03";"31"
"06:30 02/03";"07:30 02/03";"31"
"07:30 02/03";"08:30 02/03";"31"
"08:30 02/03";"09:30 02/03";"32"
"09:30 02/03";"10:30 02/03";"35"
"10:30 02/03";"11:30 02/03";"33"
"11:30 02/03";"12:30 02/03";"33"
"12:30 02/03";"13:30 02/03";"33"
"13:30 02/03";"14:30 02/03";"31"
"14:30 02/03";"15:30 02/03";"29"
"15:30 02/03";"16:30 02/03";"27"
"16:30 02/03";"17:30 02/03";"27"
"17:30 02/03";"18:30 02/03";"25"
"18:30 02/03";"19:30 02/03";"24"
"19:30 02/03";"20:30 02/03";"30"
"20:30 02/03";"21:30 02/03";"28"
"21:30 02/03";"22:30 02/03";"30"
"22:30 02/03";"23:30 02/03";"33"
"23:30 02/03";"00:30 03/03";"34"
"00:30 03/03";"01:30 03/03";"35"
"01:30 03/03";"02:30 03/03";"37"
"02:30 03/03";"03:30 03/03";"39"
"03:30 03/03";"04:30 03/03";"38"
"04:30 03/03";"05:30 03/03";"38"
"05:30 03/03";"06:30 03/03";"36"
"06:30 03/03";"07:30 03/03";"36"
"07:30 03/03";"08:30 03/03";"37"
"08:30 03/03";"09:30 03/03";"38"
"09:30 03/03";"10:30 03/03";"37"
"10:30 03/03";"11:30 03/03";"36"
"11:30 03/03";"12:30 03/03";"33"
"12:30 03/03";"13:30 03/03";"31"
"13:30 03/03";"14:30 03/03";"31"
"14:30 03/03";"15:30 03/03";"23"
"15:30 03/03";"16:30 03/03";"19"
"16:30 03/03";"17:30 03/03";"12"
"17:30 03/03";"18:30 03/03";"12"
"18:30 03/03";"19:30 03/03";"11"
"19:30 03/03";"20:30 03/03";"15"
"20:30 03/03";"21:30 03/03";"15"
"21:30 03/03";"22:30 03/03";"25"
"22:30 03/03";"23:30 03/03";"30"
"23:30 03/03";"00:30 04/03";"30"
"00:30 04/03";"01:30 04/03";"34"
"01:30 04/03";"02:30 04/03";"27"
"02:30 04/03";"03:30 04/03";"28"
"03:30 04/03";"04:30 04/03";"29"
"04:30 04/03";"05:30 04/03";"23"
"05:30 04/03";"06:30 04/03";"19"
"06:30 04/03";"07:30 04/03";"17"
"07:30 04/03";"08:30 04/03";"19"
"08:30 04/03";"09:30 04/03";"19"
"09:30 04/03";"10:30 04/03";"21"
"10:30 04/03";"11:30 04/03";"23"
"11:30 04/03";"12:30 04/03";"25"
"12:30 04/03";"13:30 04/03";"22"
"13:30 04/03";"14:30 04/03";"19"
"14:30 04/03";"15:30 04/03";"15"
"15:30 04/03";"16:30 04/03";"13"
"16:30 04/03";"17:30 04/03";"15"
"17:30 04/03";"18:30 04/03";"17"
"18:30 04/03";"19:30 04/03";"15"
"19:30 04/03";"20:30 04/03";"14"
"20:30 04/03";"21:30 04/03";"17"
"21:30 04/03";"22:30 04/03";"22"
"22:30 04/03";"23:30 04/03";"29"
"23:30 04/03";"00:30 05/03";"28"
"00:30 05/03";"01:30 05/03";"35"
"01:30 05/03";"02:30 05/03";"34"
"02:30 05/03";"03:30 05/03";"29"
"03:30 05/03";"04:30 05/03";"28"
"04:30 05/03";"05:30 05/03";"29"
"05:30 05/03";"06:30 05/03";"35"
"06:30 05/03";"07:30 05/03";"37"
"07:30 05/03";"08:30 05/03";"40"
"08:30 05/03";"09:30 05/03";"42"
"09:30 05/03";"10:30 05/03";"45"
"10:30 05/03";"11:30 05/03";"50"
"11:30 05/03";"12:30 05/03";"49"
"12:30 05/03";"13:30 05/03";"46"
"13:30 05/03";"14:30 05/03";"36"
