From;To;ID 2873 - PM2.5
"04:30 01/12";"05:30 01/12";"42"
"05:30 01/12";"06:30 01/12";"43"
"06:30 01/12";"07:30 01/12";"48"
"07:30 01/12";"08:30 01/12";"55"
"08:30 01/12";"09:30 01/12";"51"
"09:30 01/12";"10:30 01/12";"53"
"10:30 01/12";"11:30 01/12";"47"
"11:30 01/12";"12:30 01/12";"48"
"12:30 01/12";"13:30 01/12";"47"
"13:30 01/12";"14:30 01/12";"45"
"14:30 01/12";"15:30 01/12";"43"
"15:30 01/12";"16:30 01/12";"38"
"16:30 01/12";"17:30 01/12";"32"
"17:30 01/12";"18:30 01/12";"27"
"18:30 01/12";"19:30 01/12";"27"
"19:30 01/12";"20:30 01/12";"30"
"20:30 01/12";"21:30 01/12";"33"
"21:30 01/12";"22:30 01/12";"40"
"22:30 01/12";"23:30 01/12";"46"
"23:30 01/12";"00:30 02/12";"54"
"00:30 02/12";"01:30 02/12";"50"
"01:30 02/12";"02:30 02/12";"45"
"02:30 02/12";"03:30 02/12";"44"
"03:30 02/12";"04:30 02/12";"44"
"04:30 02/12";"05:30 02/12";"44"
"05:30 02/12";"06:30 02/12";"44"
"06:30 02/12";"07:30 02/12";"43"
"07:30 02/12";"08:30 02/12";"40"
"08:30 02/12";"09:30 02/12";"37"
"09:30 02/12";"10:30 02/12";"33"
"10:30 02/12";"11:30 02/12";"33"
"11:30 02/12";"12:30 02/12";"32"
"12:30 02/12";"13:30 02/12";"32"
"13:30 02/12";"14:30 02/12";"31"
"14:30 02/12";"15:30 02/12";"30"
"15:30 02/12";"16:30 02/12";"30"
"16:30 02/12";"17:30 02/12";"30"
"17:30 02/12";"18:30 02/12";"29"
"18:30 02/12";"19:30 02/12";"33"
"19:30 02/12";"20:30 02/12";"37"
"20:30 02/12";"21:30 02/12";"35"
"21:30 02/12";"22:30 02/12";"31"
"22:30 02/12";"23:30 02/12";"32"
"23:30 02/12";"00:30 03/12";"32"
"00:30 03/12";"01:30 03/12";"33"
"01:30 03/12";"02:30 03/12";"35"
"02:30 03/12";"03:30 03/12";"37"
