From;To;ID 2873 - PM2.5
"03:30 01/05";"04:30 01/05";"22"
"04:30 01/05";"05:30 01/05";"23"
"05:30 01/05";"06:30 01/05";"26"
"06:30 01/05";"07:30 01/05";"26"
"07:30 01/05";"08:30 01/05";"27"
"08:30 01/05";"09:30 01/05";"28"
"09:30 01/05";"10:30 01/05";"28"
"10:30 01/05";"11:30 01/05";"28"
"11:30 01/05";"12:30 01/05";"25"
"12:30 01/05";"13:30 01/05";"23"
"13:30 01/05";"14:30 01/05";"22"
"14:30 01/05";"15:30 01/05";"21"
"15:30 01/05";"16:30 01/05";"19"
"16:30 01/05";"17:30 01/05";"18"
"17:30 01/05";"18:30 01/05";"17"
"18:30 01/05";"19:30 01/05";"18"
"19:30 01/05";"20:30 01/05";"20"
"20:30 01/05";"21:30 01/05";"25"
"21:30 01/05";"22:30 01/05";"20"
"22:30 01/05";"23:30 01/05";"11"
"23:30 01/05";"00:30 02/05";"12"
"00:30 02/05";"01:30 02/05";"15"
"01:30 02/05";"02:30 02/05";"11"
"02:30 02/05";"03:30 02/05";"12"
"03:30 02/05";"04:30 02/05";"12"
"04:30 02/05";"05:30 02/05";"11"
"05:30 02/05";"06:30 02/05";"14"
"06:30 02/05";"07:30 02/05";"19"
"07:30 02/05";"08:30 02/05";"20"
"08:30 02/05";"09:30 02/05";"20"
"09:30 02/05";"10:30 02/05";"21"
"10:30 02/05";"11:30 02/05";"22"
"11:30 02/05";"12:30 02/05";"25"
"12:30 02/05";"13:30 02/05";"26"
"13:30 02/05";"14:30 02/05";"20"
"14:30 02/05";"15:30 02/05";"24"
"15:30 02/05";"16:30 02/05";"10"
"16:30 02/05";"17:30 02/05";"8"
"17:30 02/05";"18:30 02/05";"5"
"18:30 02/05";"19:30 02/05";"4"
"19:30 02/05";"20:30 02/05";"3"
"20:30 02/05";"21:30 02/05";"5"
"21:30 02/05";"22:30 02/05";"8"
"22:30 02/05";"23:30 02/05";"10"
"23:30 02/05";"00:30 03/05";"11"
"00:30 03/05";"01:30 03/05";"16"
"01:30 03/05";"02:30 03/05";"21"
"02:30 03/05";"03:30 03/05";"29"
"03:30 03/05";"04:30 03/05";"27"
"04:30 03/05";"05:30 03/05";"25"
"05:30 03/05";"06:30 03/05";"24"
"06:30 03/05";"07:30 03/05";"28"
"07:30 03/05";"08:30 03/05";"26"
"08:30 03/05";"09:30 03/05";"27"
"09:30 03/05";"10:30 03/05";"26"
"10:30 03/05";"11:30 03/05";"23"
"11:30 03/05";"12:30 03/05";"24"
"12:30 03/05";"13:30 03/05";"25"
"13:30 03/05";"14:30 03/05";"26"
"14:30 03/05";"15:30 03/05";"19"
"15:30 03/05";"16:30 03/05";"10"
"16:30 03/05";"17:30 03/05";"14"
"17:30 03/05";"18:30 03/05";"15"
"18:30 03/05";"19:30 03/05";"5"
"19:30 03/05";"20:30 03/05";"8"
"20:30 03/05";"21:30 03/05";"11"
"21:30 03/05";"22:30 03/05";"10"
"22:30 03/05";"23:30 03/05";"11"
"23:30 03/05";"00:30 04/05";"16"
"00:30 04/05";"01:30 04/05";"16"
"01:30 04/05";"02:30 04/05";"18"
"02:30 04/05";"03:30 04/05";"24"
"03:30 04/05";"04:30 04/05";"19"
"04:30 04/05";"05:30 04/05";"21"
"05:30 04/05";"06:30 04/05";"16"
"06:30 04/05";"07:30 04/05";"18"
"07:30 04/05";"08:30 04/05";"20"
"08:30 04/05";"09:30 04/05";"25"
"09:30 04/05";"10:30 04/05";"24"
"10:30 04/05";"11:30 04/05";"21"
"11:30 04/05";"12:30 04/05";"15"
"12:30 04/05";"13:30 04/05";"9"
"13:30 04/05";"14:30 04/05";"4"
"14:30 04/05";"15:30 04/05";"4"
"15:30 04/05";"16:30 04/05";"4"
"16:30 04/05";"17:30 04/05";"4"
"17:30 04/05";"18:30 04/05";"5"
"18:30 04/05";"19:30 04/05";"7"
"19:30 04/05";"20:30 04/05";"9"
"20:30 04/05";"21:30 04/05";"10"
"21:30 04/05";"22:30 04/05";"9"
"22:30 04/05";"23:30 04/05";"10"
"23:30 04/05";"00:30 05/05";"18"
"00:30 05/05";"01:30 05/05";"29"
"01:30 05/05";"02:30 05/05";"30"
"02:30 05/05";"03:30 05/05";"30"
"03:30 05/05";"04:30 05/05";"26"
"04:30 05/05";"05:30 05/05";"31"
"05:30 05/05";"06:30 05/05";"33"
"06:30 05/05";"07:30 05/05";"35"
"07:30 05/05";"08:30 05/05";"33"
"08:30 05/05";"09:30 05/05";"32"
"09:30 05/05";"10:30 05/05";"33"
"10:30 05/05";"11:30 05/05";"28"
"11:30 05/05";"12:30 05/05";"19"
"12:30 05/05";"13:30 05/05";"14"
"13:30 05/05";"14:30 05/05";"11"
"14:30 05/05";"15:30 05/05";"6"
"15:30 05/05";"16:30 05/05";"6"
"16:30 05/05";"17:30 05/05";"6"
"17:30 05/05";"18:30 05/05";"6"
"18:30 05/05";"19:30 05/05";"8"
"19:30 05/05";"20:30 05/05";"7"
"20:30 05/05";"21:30 05/05";"7"
"21:30 05/05";"22:30 05/05";"10"
"22:30 05/05";"23:30 05/05";"11"
"23:30 05/05";"00:30 06/05";"11"
"00:30 06/05";"01:30 06/05";"13"
"01:30 06/05";"02:30 06/05";"12"
"02:30 06/05";"03:30 06/05";"12"
"03:30 06/05";"04:30 06/05";"13"
"04:30 06/05";"05:30 06/05";"15"
"05:30 06/05";"06:30 06/05";"13"
"06:30 06/05";"07:30 06/05";"11"
"07:30 06/05";"08:30 06/05";"14"
"08:30 06/05";"09:30 06/05";"19"
"09:30 06/05";"10:30 06/05";"19"
"10:30 06/05";"11:30 06/05";"16"
"11:30 06/05";"12:30 06/05";"15"
"12:30 06/05";"13:30 06/05";"12"
"13:30 06/05";"14:30 06/05";"13"
"14:30 06/05";"15:30 06/05";"14"
"15:30 06/05";"16:30 06/05";"12"
"16:30 06/05";"17:30 06/05";"11"
"17:30 06/05";"18:30 06/05";"6"
"18:30 06/05";"19:30 06/05";"6"
"19:30 06/05";"20:30 06/05";"5"
"20:30 06/05";"21:30 06/05";"5"
"21:30 06/05";"22:30 06/05";"4"
"22:30 06/05";"23:30 06/05";"4"
"23:30 06/05";"00:30 07/05";"6"
"00:30 07/05";"01:30 07/05";"6"
"01:30 07/05";"02:30 07/05";"6"
"02:30 07/05";"03:30 07/05";"9"
"03:30 07/05";"04:30 07/05";"7"
"04:30 07/05";"05:30 07/05";"8"
